N	2gram	Losev_Vesc_1	DiskursI
1	в себе	14	19
2	и в	21	16
3	может быть	16	16
4	как и	8	16
5	в этом	4	16
6	и не	29	15
7	а не	19	14
8	но и	18	11
9	но в	5	11
10	том что	8	10
11	не только	36	10
12	со стороны	5	10
13	так и	3	9
14	не может	17	9
15	в том	8	8
16	не менее	3	7
17	прежде всего	9	7
18	в нем	2	7
19	но не	5	7
20	в данном	5	7
21	отнюдь не	5	6
22	себя в	10	6
23	еще не	8	6
24	все же	4	6
25	в своей	5	6
26	данном случае	2	6
27	то же	6	6
28	по своей	2	6
29	а с	3	5
30	что в	9	5
31	в своем	6	5
32	с другой	6	5
33	для него	4	5
34	то что	27	5
35	в то	3	5
36	я в	2	5
37	в одном	2	4
38	одной стороны	3	4
39	как бы	12	4
40	с одной	3	4
41	потому что	16	4
42	в основе	3	4
43	точки зрения	5	4
44	в этой	3	4
45	и то	10	4
46	о том	6	4
47	я и	6	4
48	перед нами	2	3
49	и может	2	3
50	это не	5	3
51	и все	5	3
52	уже не	9	3
53	и того	2	3
54	и как	8	3
55	не в	5	3
56	можно сказать	6	3
57	той или	2	3
58	в его	2	3
59	в котором	3	3
60	из них	4	3
61	жизни и	2	3
62	но она	3	3
63	и ее	18	3
64	чего не	2	3
65	все эти	3	3
66	также и	6	3
67	и его	2	3
68	но это	10	3
69	в другом	2	3
70	только в	14	3
71	его в	2	3
72	содержит в	4	2
73	никогда не	2	2
74	а потом	2	2
75	бытия и	2	2
76	момент в	6	2
77	стороны и	2	2
78	что на	2	2
79	в той	3	2
80	основе своей	2	2
81	того же	5	2
82	должна быть	4	2
83	одно и	5	2
84	не нужно	2	2
85	общения и	2	2
86	со своим	7	2
87	свое время	2	2
88	в ней	12	2
89	в свое	2	2
90	для себя	5	2
91	не с	7	2
92	что и	3	2
93	с ее	6	2
94	с точки	3	2
95	но уже	3	2
96	с ней	2	2
97	что же	8	2
98	того и	2	2
99	чем не	2	2
100	по преимуществу	2	2
101	в себя	13	2
102	сводится к	2	2
103	все это	5	2
104	другой стороны	2	2
105	и для	9	2
106	должно быть	6	2
107	а в	4	2
108	той же	2	2
109	тому как	4	2
110	тут же	2	2
111	в результате	3	2
112	их в	3	2
113	и с	8	2
114	себя с	5	2
115	реальности и	3	2
116	подобно тому	4	2
117	говорить о	6	2
118	и это	14	2
119	дело в	4	2
120	мы имеем	7	2
