N	2gram	Nazirov_Tv_1	Myshleni
1	в этом	6	29
2	и в	21	26
3	не только	7	24
4	то что	8	24
5	таким образом	5	23
6	представляет собой	3	19
7	в том	7	18
8	и не	7	18
9	том что	11	17
10	потому что	5	16
11	как и	12	15
12	того что	3	14
13	так же	3	14
14	так как	3	14
15	что в	12	12
16	вместе с	2	12
17	и его	6	12
18	в которой	3	11
19	но и	3	11
20	мысли и	4	11
21	не может	4	11
22	в самом	3	9
23	в себе	2	9
24	то же	13	8
25	что она	2	8
26	сказать что	2	8
27	что он	6	8
28	ее в	3	8
29	тем самым	7	8
30	той же	3	8
31	только в	5	8
32	самого начала	3	7
33	к тому	2	7
34	представление о	3	7
35	прежде всего	4	7
36	с самого	3	7
37	может быть	5	7
38	и тем	2	6
39	именно в	2	6
40	как бы	17	6
41	все же	5	6
42	самом деле	2	6
43	а не	5	6
44	можно сказать	2	5
45	до конца	2	5
46	в виду	2	5
47	в целом	4	5
48	во второй	2	5
49	данном случае	2	5
50	и с	3	5
51	от мысли	2	5
52	из всех	4	5
53	в качестве	2	5
54	только что	2	5
55	в направлении	2	5
56	в данном	2	5
57	не менее	6	4
58	никогда не	3	4
59	с другой	3	4
60	и от	4	4
61	так что	2	4
62	в котором	6	4
63	если в	2	4
64	не по	3	4
65	и наконец	2	4
66	в момент	4	4
67	в его	13	4
68	о том	6	4
69	но в	7	4
70	одной из	4	4
71	гораздо более	2	4
72	как в	8	4
73	приводит к	2	4
74	это и	3	4
75	не в	2	4
76	я не	3	3
77	все это	10	3
78	это не	4	3
79	тем не	2	3
80	но это	5	3
81	такой же	2	3
82	для него	6	3
83	в ней	2	3
84	в основе	2	3
85	в первой	2	3
86	отношений между	2	3
87	как к	2	3
88	мы находим	2	3
89	но только	2	3
90	и по	3	3
91	он не	8	3
92	в первом	2	3
93	с ним	3	3
94	не означает	2	3
95	есть не	2	3
96	об этом	2	3
97	в то	15	3
98	но не	3	3
99	в одной	2	3
100	в основном	4	3
101	что и	2	3
102	в своей	4	3
103	так и	2	3
104	только на	2	3
105	на самом	3	3
106	в этой	5	3
107	в чем	2	3
108	перед нами	2	2
109	уже в	3	2
110	в этих	2	2
111	точно так	2	2
112	одного из	2	2
113	что все	3	2
114	а по	2	2
115	что его	2	2
116	в свою	7	2
117	на его	3	2
118	не мог	2	2
119	или в	2	2
120	одним из	4	2
121	но если	3	2
122	в конечном	4	2
123	сути дела	3	2
124	один из	4	2
125	в нем	3	2
126	с ее	3	2
127	и против	2	2
128	в их	3	2
129	одновременно и	2	2
130	и других	3	2
131	нашему мнению	5	2
132	на первом	2	2
133	по природе	6	2
134	действительности в	2	2
135	а в	6	2
136	что для	2	2
137	самим собой	4	2
138	в своих	5	2
139	в любви	2	2
140	но он	2	2
141	н м	2	2
142	конечном счете	4	2
143	к этому	2	2
144	вовсе не	5	2
145	а затем	2	2
146	то в	2	2
147	со всеми	3	2
148	время в	3	2
149	к ней	2	2
150	даже в	3	2
151	во всей	2	2
152	в отличие	2	2
153	говорит что	2	2
154	что не	2	2
155	и он	2	2
156	могут быть	2	2
157	на деле	2	2
158	ту же	3	2
159	отличие от	2	2
