N	2gram	Propp_Isto_5	PoTuStor
1	может быть	17	17
2	и в	25	16
3	и пр	3	12
4	прежде всего	6	9
5	таким образом	9	9
6	в этом	10	9
7	мы можем	2	9
8	совершенно не	2	8
9	и его	9	8
10	и с	3	8
11	точки зрения	2	8
12	не может	6	8
13	сказать что	2	7
14	не только	13	7
15	и это	4	6
16	самом деле	2	6
17	все эти	8	5
18	еще не	8	5
19	как бы	2	5
20	в него	5	5
21	в нем	7	4
22	но и	13	4
23	все это	4	4
24	и все	3	4
25	так как	11	4
26	и не	11	4
27	как мы	5	4
28	но мы	3	4
29	можно сказать	2	4
30	и на	8	4
31	в этой	3	4
32	только в	7	4
33	его в	9	4
34	в его	12	4
35	во время	7	3
36	мы знаем	8	3
37	на этой	4	3
38	в этих	6	3
39	что в	8	3
40	жизни и	2	3
41	во всех	2	3
42	и др	3	3
43	могут быть	6	3
44	вместе с	22	3
45	сих пор	2	3
46	и она	3	3
47	в том	6	3
48	а в	3	3
49	том что	8	3
50	и как	3	3
51	с другими	4	3
52	то что	7	3
53	их в	3	3
54	на этом	3	3
55	тех же	2	3
56	но оно	3	3
57	в основном	4	3
58	и потому	2	3
59	до сих	2	3
60	не менее	4	2
61	ее в	2	2
62	один из	2	2
63	что и	6	2
64	же как	4	2
65	в частности	7	2
66	никогда не	3	2
67	находится в	2	2
68	того же	2	2
69	с этой	2	2
70	и таким	2	2
71	с этим	5	2
72	в свое	2	2
73	то же	4	2
74	к этому	2	2
75	на них	2	2
76	и других	2	2
77	что он	22	2
78	мы не	5	2
79	в одно	2	2
80	что мы	2	2
81	у него	2	2
82	и по	2	2
83	и для	2	2
84	для нас	5	2
85	как и	7	2
86	они не	3	2
87	мы видим	8	2
88	так же	5	2
89	но это	7	2
90	мы уже	4	2
91	знаем что	6	2
92	а на	2	2
93	он не	4	2
94	и этим	2	2
95	в пределах	4	2
96	и вообще	3	2
97	ту же	2	2
98	что это	5	2
99	и мы	2	2
100	связанные с	2	2
101	о том	7	2
102	во сне	2	2
103	в своей	2	2
104	с ним	4	2
105	и действительно	5	2
