N	2gram	Potebnia_M_4	Formalny
1	и в	23	24
2	в его	5	23
3	и не	18	20
4	так и	6	18
5	не может	11	16
6	точки зрения	4	16
7	в этом	23	15
8	в нем	7	14
9	может быть	26	14
10	с точки	3	13
11	таким образом	24	13
12	и т	7	12
13	в своем	8	11
14	не менее	5	11
15	как и	14	11
16	должно быть	5	11
17	вовсе не	7	10
18	и их	3	10
19	то же	14	10
20	в ней	2	10
21	а не	12	10
22	и его	2	10
23	и потому	10	9
24	в процессе	3	9
25	все это	5	9
26	в то	4	9
27	в ее	2	8
28	же время	3	8
29	именно в	3	8
30	в свою	2	8
31	то что	29	8
32	как в	7	8
33	т д	3	8
34	лишь в	3	8
35	и на	3	8
36	не в	11	8
37	и с	4	8
38	не только	10	7
39	но и	11	7
40	на самом	3	7
41	и все	4	6
42	и здесь	2	6
43	было бы	8	6
44	в том	23	6
45	самом деле	3	6
46	до сих	4	6
47	она не	2	6
48	еще не	3	6
49	как бы	5	6
50	сих пор	4	6
51	художественное произведение	2	6
52	а в	5	6
53	все эти	3	6
54	хотя бы	4	5
55	по себе	11	5
56	бы ни	2	5
57	в искусстве	3	5
58	у нас	2	5
59	при этом	15	5
60	только на	4	5
61	и др	2	5
62	в самом	3	5
63	и до	3	5
64	со стороны	3	5
65	как мы	2	5
66	того что	14	5
67	должны быть	3	5
68	с другой	2	5
69	но в	8	5
70	независимо от	6	4
71	никогда не	3	4
72	не как	2	4
73	с другими	4	4
74	и к	6	4
75	в мире	2	4
76	и может	4	4
77	если бы	13	4
78	конечно не	2	4
79	всяком случае	3	4
80	оно не	2	4
81	отношению к	8	4
82	быть и	2	4
83	так же	4	4
84	по отношению	10	4
85	т п	4	4
86	что в	17	4
87	друг друга	2	4
88	в которой	6	4
89	не из	5	4
90	во всяком	5	4
91	в истории	4	4
92	связи с	3	3
93	поэтического произведения	5	3
94	в них	3	3
95	что он	4	3
96	это последнее	4	3
97	к тому	3	3
98	для него	5	3
99	и как	2	3
100	но это	3	3
101	в большинстве	2	3
102	в каждом	3	3
103	он не	2	3
104	один из	2	3
105	отношение к	2	3
106	значение и	2	3
107	влияние на	2	3
108	не было	12	3
109	и других	3	3
110	мы не	8	3
111	тем самым	4	3
112	и даже	2	3
113	между ними	4	3
114	его в	4	3
115	как она	2	3
116	в себе	14	3
117	этого слова	7	3
118	человек не	2	3
119	так сказать	5	3
120	думать что	4	3
121	бы в	2	3
122	в области	2	3
123	и чем	2	3
124	а как	2	2
125	и более	4	2
126	с тем	7	2
127	в другой	2	2
128	в нашем	2	2
129	сами по	2	2
130	это не	7	2
131	с этим	7	2
132	в одном	4	2
133	вопрос о	2	2
134	не можем	5	2
135	но эта	2	2
136	таким же	5	2
137	виду что	2	2
138	все в	2	2
139	в самой	2	2
140	искусств как	2	2
141	уже не	3	2
142	из виду	2	2
143	более и	2	2
144	в различных	2	2
145	в ряду	6	2
146	если мы	2	2
147	только в	15	2
148	только как	4	2
149	в действительности	3	2
150	но есть	4	2
151	не от	3	2
152	и если	3	2
153	все более	3	2
154	этот образ	2	2
155	к другим	2	2
156	от того	4	2
157	к ней	2	2
158	только не	3	2
159	настоящего времени	2	2
160	не с	2	2
161	что и	7	2
162	не есть	9	2
163	вместе с	6	2
164	эта связь	2	2
165	гуманитарных наук	2	2
166	и что	7	2
167	ко всем	3	2
168	в науке	3	2
169	не так	2	2
170	есть лишь	2	2
171	или иначе	2	2
172	между тем	9	2
173	даже и	3	2
174	в своих	2	2
175	на его	3	2
176	если же	4	2
177	и это	2	2
178	на нее	3	2
179	большинстве случаев	2	2
180	его содержание	2	2
181	с ним	5	2
182	мысли в	2	2
183	что такое	7	2
