N	2gram	Nazirov_Vr_1	Myshleni
1	в том	3	33
2	том что	3	27
3	точки зрения	2	26
4	то что	7	20
5	в этом	8	19
6	с точки	2	18
7	и в	8	15
8	не только	9	15
9	что в	7	14
10	таким образом	2	14
11	что он	4	12
12	но и	7	10
13	в своем	3	9
14	может быть	4	9
15	не может	2	9
16	о том	4	9
17	связи с	3	9
18	никогда не	2	8
19	и что	8	8
20	мы знаем	2	7
21	и не	5	7
22	на основе	2	7
23	как бы	4	7
24	он не	3	7
25	и т.п	2	7
26	в этой	2	6
27	в виду	4	6
28	на то	3	6
29	в связи	3	6
30	в истории	4	6
31	но в	6	6
32	как и	6	6
33	вместе с	2	6
34	это не	4	5
35	уже в	4	5
36	и даже	6	5
37	то же	5	5
38	для нас	4	4
39	несмотря на	4	4
40	все это	4	4
41	в них	2	4
42	так же	4	4
43	а в	2	4
44	их в	2	4
45	и с	6	4
46	в начале	6	4
47	при помощи	2	4
48	с его	3	4
49	к этому	3	4
50	все же	6	4
51	в своей	2	4
52	как раз	2	4
53	а с	2	4
54	и его	3	4
55	в эту	2	4
56	он сам	2	3
57	что у	3	3
58	во время	2	3
59	об этом	5	3
60	для него	2	3
61	при этом	4	3
62	из них	2	3
63	с ним	4	3
64	и все	7	3
65	тем более	2	3
66	и ее	2	3
67	и это	2	3
68	же как	2	2
69	столь же	2	2
70	на место	2	2
71	и как	3	2
72	очень хорошо	2	2
73	в котором	6	2
74	его с	2	2
75	после этого	2	2
76	целый ряд	4	2
77	к себе	2	2
78	а также	2	2
79	в известном	2	2
80	у него	5	2
81	отнюдь не	2	2
82	наряду с	3	2
83	том же	2	2
84	в его	3	2
85	речь идет	3	2
86	раз в	3	2
87	тем что	3	2
88	в себе	2	2
