N	3gram	Tiupa_Narr_1	Hudozhes
1	в том что	8	11
2	о том что	6	7
3	по отношению к	6	7
4	так и не	2	4
5	то же время	3	4
6	подобно тому как	2	4
7	в то же	3	4
8	с одной стороны	7	3
9	в конечном счете	2	3
10	не может быть	5	3
11	тем не менее	3	3
12	в данном случае	4	2
13	не все верили	2	2
14	так же как	2	2
15	которая живет теперь	2	2
16	состоит в том	3	2
17	к тому же	4	2
18	на другой день	2	2
19	тогда как в	2	2
20	с точки зрения	2	2
21	детях о внуках	2	2
22	идет по полю	2	2
23	не только в	2	2
24	о детях о	2	2
25	а не в	2	2
26	можно было бы	2	2
27	того или иного	2	2
28	все те же	4	2
