N	2gram	Vinokur_Ku_1	formyVre
1	и в	24	50
2	в этом	14	25
3	в нем	4	24
4	и его	5	16
5	прежде всего	9	15
6	и не	12	14
7	вовсе не	10	13
8	как раз	8	13
9	в его	12	13
10	по существу	4	12
11	так и	7	12
12	может быть	13	11
13	таким образом	12	11
14	то же	8	11
15	и как	2	10
16	но в	2	10
17	в том	30	9
18	же время	2	9
19	в особенности	3	9
20	все эти	6	9
21	в то	2	9
22	не только	10	9
23	с его	4	9
24	роль в	4	9
25	ничего не	2	9
26	в самом	10	8
27	и т	33	8
28	но и	6	8
29	и на	4	8
30	как и	2	8
31	того же	4	8
32	ни в	2	8
33	т п	18	8
34	не было	3	7
35	так сказать	5	7
36	все же	12	6
37	в частности	4	6
38	это не	7	6
39	например в	5	6
40	в их	3	6
41	не может	7	6
42	лишь в	2	6
43	так же	4	6
44	в результате	5	6
45	так как	9	6
46	с этим	4	6
47	и все	2	6
48	и того	2	6
49	связи с	7	6
50	то что	9	6
51	как в	4	6
52	что в	17	5
53	одного и	2	5
54	не в	11	5
55	в пределах	4	5
56	в связи	3	5
57	в разных	2	5
58	только и	3	5
59	точки зрения	14	5
60	но все	2	5
61	если бы	9	5
62	но не	5	5
63	еще не	5	5
64	он не	2	5
65	отношению к	9	5
66	того чтобы	17	5
67	для того	16	5
68	в своем	3	4
69	до конца	2	4
70	в котором	3	4
71	все это	6	4
72	не имеет	2	4
73	потому что	23	4
74	и с	5	4
75	в ней	6	4
76	к себе	4	4
77	в них	7	4
78	конечно не	2	4
79	в той	5	4
80	том что	21	4
81	и для	2	4
82	и то	3	4
83	только в	11	4
84	здесь не	3	4
85	не могут	2	3
86	в этих	4	3
87	к тому	5	3
88	с тем	5	3
89	при этом	6	3
90	не имеют	3	3
91	себе и	2	3
92	хотя и	3	3
93	в виду	5	3
94	один из	4	3
95	по отношению	8	3
96	этом отношении	5	3
97	именно в	6	3
98	они не	3	3
99	а в	5	3
100	одно из	2	3
101	в одном	3	3
102	для них	2	3
103	был бы	2	3
104	что было	2	3
105	значение и	2	3
106	же в	4	3
107	в качестве	7	3
108	в сущности	3	3
109	по преимуществу	2	3
110	и потому	4	3
111	только к	2	3
112	что и	4	3
113	вместе с	7	3
114	сих пор	4	3
115	а не	8	3
116	что не	5	3
117	между ними	2	3
118	в таком	3	3
119	или в	2	3
120	во всяком	5	3
121	в себе	3	3
122	до сих	4	3
123	уже в	3	2
124	никогда не	2	2
125	с другой	7	2
126	что все	2	2
127	была бы	3	2
128	вопрос о	2	2
129	разумеется что	2	2
130	или иной	3	2
131	а только	8	2
132	для нас	2	2
133	с их	3	2
134	лишь как	2	2
135	есть в	4	2
136	в свою	3	2
137	к жизни	2	2
138	в целом	4	2
139	уже на	2	2
140	еще и	5	2
141	к своему	2	2
142	с помощью	7	2
143	в самой	4	2
144	во втором	2	2
145	того что	9	2
146	и даже	3	2
147	рядом с	5	2
148	в которых	6	2
149	также и	2	2
150	в более	2	2
151	же и	2	2
152	и еще	2	2
153	и является	4	2
154	в истории	3	2
155	здесь только	2	2
156	с ним	5	2
157	не является	2	2
158	в стороне	2	2
159	тогда когда	6	2
160	ясно что	3	2
161	по себе	2	2
162	в соответствии	3	2
163	во все	2	2
164	и может	3	2
165	было бы	15	2
166	в это	2	2
167	том же	2	2
168	оно не	3	2
169	в своей	2	2
170	как бы	7	2
171	ее в	2	2
172	если мы	2	2
173	уже не	8	2
174	с точки	9	2
175	речи в	4	2
176	хотя бы	10	2
177	в которой	6	2
178	той же	3	2
179	в данном	4	2
180	от этого	2	2
181	тем что	8	2
182	на себя	3	2
183	в каком	2	2
184	соответствии с	3	2
185	слова и	4	2
186	там где	4	2
187	здесь как	2	2
