N	2gram	Vinokur_Vv_1	Problemy
1	и в	27	35
2	как бы	5	31
3	и не	13	27
4	что он	4	24
5	в его	10	21
6	но в	10	19
7	не может	13	18
8	как и	5	18
9	в нем	13	16
10	то же	8	15
11	но и	5	14
12	может быть	24	14
13	все это	6	14
14	в сущности	3	14
15	и его	5	14
16	в этом	34	14
17	к нему	2	13
18	прежде всего	8	12
19	и с	2	12
20	в другом	3	12
21	в то	5	11
22	не в	8	10
23	самом деле	6	10
24	же время	5	10
25	не только	21	10
26	то что	17	10
27	в отношении	2	9
28	потому что	14	8
29	все же	8	8
30	как мы	9	8
31	и для	4	8
32	и сам	2	7
33	так же	3	7
34	а в	5	7
35	точки зрения	7	7
36	вовсе не	6	7
37	еще не	4	7
38	себе и	2	7
39	отношению к	4	7
40	что же	3	7
41	в виде	4	7
42	отношении к	2	7
43	таким образом	19	7
44	он сам	3	6
45	что в	11	6
46	в каждом	4	6
47	к тому	4	6
48	и что	4	6
49	отношение к	3	6
50	в самом	12	6
51	и на	3	6
52	в одном	4	6
53	но не	7	6
54	по отношению	4	6
55	только в	13	6
56	в конце	3	5
57	в том	31	5
58	да и	4	5
59	так что	5	5
60	от себя	3	5
61	и даже	5	5
62	он и	2	5
63	этого слова	2	5
64	и то	5	5
65	в себе	4	5
66	на протяжении	2	5
67	и это	6	5
68	никогда не	3	4
69	с другой	8	4
70	но зато	2	4
71	сливается с	3	4
72	но все	3	4
73	до конца	3	4
74	всяком случае	3	4
75	и вот	3	4
76	рядом с	2	4
77	между тем	8	4
78	говорит он	2	4
79	но как	2	4
80	его в	6	4
81	так как	13	4
82	как раз	4	4
83	в них	4	4
84	по себе	9	4
85	так чтобы	3	4
86	во всем	2	4
87	по своему	5	4
88	в своей	4	4
89	только на	3	4
90	в той	7	4
91	а не	3	4
92	что не	5	4
93	и без	2	4
94	во всяком	3	4
95	тем что	6	4
96	как будто	3	4
97	что это	3	4
98	в чем	4	4
99	за собой	3	3
100	уже в	5	3
101	его к	2	3
102	совсем не	3	3
103	в общем	12	3
104	в виду	4	3
105	в целом	5	3
106	из них	3	3
107	другой стороны	5	3
108	в форме	2	3
109	все эти	3	3
110	не мог	2	3
111	того что	12	3
112	должно быть	2	3
113	это не	8	3
114	сказать что	5	3
115	даже и	3	3
116	нуждается в	2	3
117	говорить о	3	3
118	в начале	3	3
119	а так	2	3
120	или как	3	3
121	этого не	2	3
122	в котором	4	3
123	с тем	6	3
124	не как	3	3
125	с этим	2	3
126	этом смысле	11	3
127	в ее	11	3
128	том что	26	3
129	было бы	5	3
130	во всех	2	3
131	конце концов	2	3
132	что и	3	3
133	только что	4	3
134	уже не	5	3
135	и т.д	4	3
136	только с	3	3
137	ничего не	2	3
138	не менее	8	2
139	на вопрос	6	2
140	времени и	4	2
141	в этих	3	2
142	тому что	2	2
143	для этого	3	2
144	о них	2	2
145	вообще не	3	2
146	с этой	4	2
147	это в	2	2
148	вопрос о	8	2
149	в дальнейшем	2	2
150	из его	2	2
151	такого же	2	2
152	на этом	3	2
153	но что	3	2
154	что с	3	2
155	при этом	3	2
156	например в	2	2
157	хотя и	3	2
158	мог бы	2	2
159	на нее	2	2
160	мы видели	2	2
161	понятно что	3	2
162	в своем	3	2
163	что оно	2	2
164	не просто	4	2
165	только так	2	2
166	есть только	2	2
167	каждый из	2	2
168	в которых	6	2
169	в ней	3	2
170	что даже	2	2
171	но ведь	4	2
172	о том	15	2
173	как он	6	2
174	в первом	5	2
175	а как	3	2
176	в этот	2	2
177	уже и	7	2
178	смысле этого	8	2
179	однако в	3	2
180	будто бы	2	2
181	лежит в	2	2
182	на тему	2	2
183	надо было	2	2
184	материал для	3	2
185	быть в	4	2
186	и того	2	2
187	должна была	2	2
188	одной из	3	2
189	но уже	2	2
190	себя в	2	2
191	своего рода	3	2
192	вместе с	6	2
193	быть и	2	2
194	этот процесс	3	2
195	бы и	2	2
196	говорит о	3	2
197	в отличие	3	2
198	iv в	2	2
199	на этот	4	2
200	и как	9	2
201	хотя бы	5	2
202	с точки	2	2
203	той же	4	2
204	можно было	7	2
205	мы можем	2	2
206	и вообще	3	2
207	в каждой	2	2
208	отличие от	3	2
