N	2gram	Bakhtin_Fr_5	EvropaiC
1	таким образом	8	32
2	в том	10	31
3	и в	45	24
4	том что	7	20
5	все эти	5	19
6	не может	5	18
7	то что	2	17
8	может быть	2	15
9	народа в	2	15
10	все же	2	15
11	точки зрения	4	13
12	в своем	11	12
13	до сих	3	12
14	сих пор	3	12
15	самом деле	5	12
16	в этом	14	12
17	все это	7	11
18	между тем	2	11
19	с этим	4	11
20	как бы	12	10
21	во всех	13	10
22	так и	6	10
23	при этом	2	9
24	друг с	2	9
25	как и	10	9
26	того же	3	9
27	с другом	2	9
28	что в	12	9
29	не в	7	8
30	в самом	4	8
31	у народа	2	8
32	так же	8	8
33	и все	7	8
34	мы говорили	2	8
35	с точки	2	8
36	не менее	3	7
37	к тому	2	7
38	но и	10	7
39	и не	15	7
40	и что	2	7
41	из этих	3	7
42	о том	4	7
43	что он	6	7
44	по существу	3	7
45	на самом	5	7
46	того чтобы	6	7
47	для того	6	7
48	все они	4	6
49	в этой	6	6
50	в общем	4	6
51	несмотря на	2	6
52	того что	3	6
53	как на	4	6
54	и на	5	6
55	так как	6	6
56	с ним	5	6
57	что и	7	6
58	мы можем	2	6
59	только в	4	6
60	вместе с	3	6
61	именно в	3	5
62	что это	2	5
63	и без	2	5
64	и от	4	5
65	на все	2	5
66	что все	2	5
67	тому же	4	5
68	у него	4	5
69	в целом	2	5
70	и их	5	5
71	и с	10	5
72	потому что	7	5
73	его в	5	5
74	между собою	4	5
75	но в	14	5
76	к этому	2	5
77	и к	5	5
78	в то	11	5
79	по своему	4	5
80	и если	2	5
81	в его	13	5
82	не только	14	5
83	и для	3	5
84	лишь в	2	5
85	не могут	2	4
86	в конце	7	4
87	одним из	5	4
88	хотя и	5	4
89	в их	4	4
90	совершенно так	2	4
91	всех этих	6	4
92	связи с	6	4
93	мы уже	4	4
94	том же	2	4
95	он не	6	4
96	что эта	2	4
97	то же	11	4
98	в течение	3	4
99	если мы	2	4
100	и у	5	4
101	хотя бы	2	4
102	и т.д	2	4
103	же как	4	3
104	не подлежит	2	3
105	уже и	2	3
106	в нем	10	3
107	данном случае	2	3
108	от того	3	3
109	и наконец	2	3
110	а в	4	3
111	это не	3	3
112	в начале	2	3
113	в истории	2	3
114	бы в	4	3
115	в эти	2	3
116	с тем	2	3
117	прежде всего	10	3
118	конечно не	2	3
119	даже в	2	3
120	жизнь и	2	3
121	в данном	2	3
122	в связи	5	3
123	и вообще	2	3
124	и это	4	3
125	отличие от	2	3
126	но на	3	2
127	независимо от	2	2
128	в сторону	2	2
129	себя и	2	2
130	точку зрения	2	2
131	что на	3	2
132	как мы	8	2
133	для него	3	2
134	такой же	4	2
135	на этом	5	2
136	же время	9	2
137	к нему	2	2
138	в ней	8	2
139	вступают в	2	2
140	с ее	5	2
141	мы видели	7	2
142	на том	2	2
143	и до	2	2
144	что она	3	2
145	в самой	8	2
146	в одно	2	2
147	в которых	3	2
148	одно из	2	2
149	говорить о	2	2
150	не было	3	2
151	также и	7	2
152	то есть	25	2
153	в основе	4	2
154	и там	2	2
155	в них	6	2
156	он должен	2	2
157	должен быть	2	2
158	вовсе не	8	2
159	конечно в	2	2
160	но не	4	2
161	было бы	2	2
162	жизни и	8	2
163	в сущности	4	2
164	на него	2	2
165	в ту	2	2
166	почти все	3	2
167	в себя	5	2
168	ко всему	2	2
169	в другом	3	2
170	ту же	2	2
171	есть в	3	2
172	и только	2	2
173	в эту	2	2
