N	2gram	Tiupa_Teor_1	Myshleni
1	то что	3	26
2	в этом	8	25
3	потому что	3	21
4	таким образом	3	19
5	в том	16	18
6	не может	4	18
7	точки зрения	9	18
8	что в	9	16
9	и в	18	16
10	того что	4	16
11	не только	16	16
12	так же	2	15
13	том что	9	15
14	сказать что	3	13
15	между собой	3	13
16	отношению к	4	12
17	в ходе	4	12
18	по отношению	4	12
19	и не	13	12
20	и что	3	12
21	в области	4	12
22	отношение к	5	11
23	в его	6	11
24	но не	9	10
25	а не	9	10
26	только в	6	10
27	в отношении	3	9
28	может быть	17	9
29	с точки	3	9
30	как это	8	8
31	в основе	3	8
32	если бы	3	8
33	как и	4	8
34	он не	3	8
35	то же	7	8
36	тем самым	4	8
37	в нем	4	7
38	но он	3	7
39	того же	3	7
40	так и	10	7
41	представляет собой	9	7
42	приводит к	5	7
43	внутренней речи	13	7
44	если мы	2	7
45	в какой	2	6
46	не в	7	6
47	в этой	3	6
48	но и	9	6
49	могли бы	2	6
50	но в	9	6
51	состоит в	17	6
52	к тому	2	6
53	в той	2	6
54	речи и	2	6
55	в другом	3	6
56	никогда не	4	5
57	тому что	2	5
58	в своем	4	5
59	для него	2	5
60	как бы	5	5
61	не является	4	5
62	заключается в	2	5
63	не знает	3	5
64	в то	6	5
65	он должен	2	5
66	можно сказать	3	5
67	как в	5	5
68	говорит что	2	5
69	в которой	2	5
70	не могут	2	4
71	казалось бы	2	4
72	все эти	2	4
73	с другой	7	4
74	это не	2	4
75	а только	3	4
76	в свою	3	4
77	в пределах	5	4
78	при этом	12	4
79	в самом	4	4
80	в целом	3	4
81	мышления и	2	4
82	именно в	3	4
83	и по	2	4
84	к которому	3	4
85	в качестве	24	4
86	с их	2	4
87	еще не	4	4
88	за пределы	2	4
89	вместе с	2	4
90	и то	2	4
91	могут быть	4	4
92	и т.д	3	4
93	и составляет	3	4
94	не менее	4	3
95	в частности	16	3
96	способность к	2	3
97	одного и	3	3
98	прежде всего	2	3
99	и как	2	3
100	свою очередь	2	3
101	одной стороны	2	3
102	и является	2	3
103	если в	2	3
104	и тем	3	3
105	в их	2	3
106	с одной	2	3
107	а в	13	3
108	к его	2	3
109	говорить о	3	3
110	по своей	3	3
111	в первом	2	3
112	в этих	3	3
113	между тем	5	3
114	между двумя	3	3
115	к жизни	2	3
116	только не	2	3
117	в одном	2	3
118	этих двух	2	3
119	и того	3	3
120	то в	2	3
121	по своему	2	3
122	одной из	2	3
123	своей природе	2	3
124	что и	2	3
125	ее в	2	3
126	не на	2	3
127	в себя	3	3
128	и его	8	3
129	я не	2	2
130	и другие	2	2
131	столь же	2	2
132	вслед за	2	2
133	имеет место	2	2
134	одним из	2	2
135	совпадает с	3	2
136	в виду	5	2
137	в своей	6	2
138	в отличие	6	2
139	что она	2	2
140	все это	2	2
141	другой стороны	5	2
142	отношения к	2	2
143	и даже	2	2
144	на основе	2	2
145	в момент	2	2
146	и здесь	2	2
147	их в	3	2
148	в них	2	2
149	в жизни	2	2
150	вовсе не	3	2
151	его в	2	2
152	не с	3	2
153	и к	3	2
154	отличие от	6	2
155	у нас	2	2
156	или иным	3	2
157	во второй	7	2
158	в первой	5	2
159	никто не	2	2
160	и потому	2	2
161	принадлежит к	3	2
162	а с	3	2
163	как будто	2	2
