N	2gram	Bakhtin_Pr_1	Freidism
1	таким образом	12	24
2	и не	31	23
3	не может	12	20
4	точки зрения	19	19
5	прежде всего	7	18
6	и пр	3	15
7	в этом	22	15
8	в его	24	15
9	может быть	24	13
10	и его	14	12
11	как и	12	11
12	как бы	19	11
13	то что	15	11
14	все эти	9	11
15	с точки	13	11
16	и потому	6	10
17	так и	7	10
18	как мы	4	10
19	самом деле	6	10
20	его в	6	10
21	с ним	5	10
22	но в	7	10
23	с его	9	9
24	и в	29	9
25	по отношению	8	9
26	все что	3	8
27	что он	8	8
28	отношению к	8	8
29	еще не	5	8
30	в своей	8	8
31	он не	5	8
32	не только	15	8
33	все это	6	8
34	то же	14	8
35	только в	10	8
36	так как	6	8
37	ни в	3	7
38	тот же	2	7
39	к нему	6	7
40	во всяком	5	7
41	один из	2	7
42	отношение к	2	7
43	в самом	10	7
44	что же	4	7
45	те же	2	7
46	и наконец	4	7
47	сказать что	3	7
48	мы уже	2	7
49	всяком случае	3	7
50	никогда не	3	6
51	точку зрения	6	6
52	вовсе не	7	6
53	и ее	2	6
54	для него	18	6
55	за пределы	7	6
56	в ней	2	6
57	все те	2	6
58	так сказать	4	6
59	хотя бы	2	6
60	и с	4	6
61	и к	2	5
62	он сам	3	5
63	не в	7	5
64	в этой	4	5
65	в то	10	5
66	в большинстве	2	5
67	что в	8	5
68	но и	14	5
69	на самом	5	5
70	в себя	3	5
71	а в	7	5
72	и на	7	5
73	могут быть	6	5
74	с этим	2	5
75	мы должны	3	5
76	большинстве случаев	2	5
77	но не	9	4
78	я не	3	4
79	в котором	2	4
80	сознания и	5	4
81	и др	5	4
82	сознания с	2	4
83	то ни	2	4
84	в пределах	13	4
85	в жизни	2	4
86	не дает	3	4
87	с другими	7	4
88	всех этих	2	4
89	же время	9	4
90	при этом	2	4
91	конечно не	2	4
92	и о	5	4
93	от того	4	4
94	как раз	6	4
95	в основе	4	4
96	в зависимости	5	4
97	в нем	19	4
98	все же	9	4
99	данном случае	2	4
100	не было	4	4
101	между ними	2	4
102	уже не	13	4
103	и для	4	4
104	в которой	2	4
105	той же	5	4
106	с их	5	4
107	в данном	2	4
108	этот вопрос	2	4
109	потому что	8	4
110	себя и	2	4
111	зависимости от	5	4
112	в мир	3	4
113	не могут	6	3
114	самого начала	2	3
115	нисколько не	2	3
116	если бы	9	3
117	и есть	2	3
118	тому что	3	3
119	в них	3	3
120	и от	2	3
121	о себе	12	3
122	на себя	2	3
123	к себе	2	3
124	в объективном	2	3
125	в себе	7	3
126	войти в	2	3
127	и как	7	3
128	но это	4	3
129	она не	7	3
130	было бы	5	3
131	бы он	2	3
132	что может	2	3
133	бы то	2	3
134	только то	3	3
135	жизни и	2	3
136	на него	3	3
137	приводит к	3	3
138	не знает	3	3
139	как в	6	3
140	мысли и	5	3
141	и что	2	3
142	именно и	2	3
143	на этот	2	3
144	у него	5	3
145	зрения на	7	3
146	и этим	3	3
147	одна из	3	3
148	в сознании	2	3
149	из тех	2	2
150	есть и	2	2
151	в отношении	2	2
152	уже в	3	2
153	человека в	4	2
154	его целом	6	2
155	но все	5	2
156	его и	2	2
157	всей его	2	2
158	для себя	2	2
159	с другой	3	2
160	это не	9	2
161	оно не	3	2
162	же что	5	2
163	в конце	6	2
164	для понимания	2	2
165	не позволяет	2	2
166	и уже	2	2
167	до конца	8	2
168	ни было	2	2
169	это и	5	2
170	том что	7	2
171	более того	5	2
172	мы остановимся	2	2
173	а не	22	2
174	социальной жизни	2	2
175	отсюда и	2	2
176	внешнего мира	3	2
177	в процессе	4	2
178	конце концов	5	2
179	о нем	9	2
180	в своем	8	2
181	со всею	2	2
182	себе и	3	2
183	на почве	3	2
184	и до	3	2
185	точка зрения	12	2
186	как не	8	2
187	выражение в	6	2
188	сих пор	2	2
189	что она	6	2
190	в их	3	2
191	во всей	2	2
192	отличается от	3	2
193	отношения к	3	2
194	для своего	2	2
195	этом отношении	3	2
196	что оно	2	2
197	а потому	2	2
198	заметить что	2	2
199	и у	3	2
200	другого человека	4	2
201	и даже	2	2
202	к этим	2	2
203	так же	6	2
204	как на	3	2
205	рядом с	14	2
206	мы видим	2	2
207	ибо не	2	2
208	мир в	3	2
209	их в	4	2
210	правда в	2	2
211	они не	4	2
212	в своих	3	2
213	сознание и	5	2
214	что и	4	2
215	но как	3	2
216	все то	4	2
217	до сих	2	2
218	и самое	3	2
219	оно может	2	2
220	выйти за	2	2
