N	2gram	Propp_Isto_2	Otkroven
1	у него	4	22
2	и в	15	19
3	но и	14	13
4	и не	11	13
5	в этом	11	12
6	а не	5	11
7	не в	7	11
8	человека в	2	11
9	может быть	17	11
10	не только	18	11
11	вопрос о	4	10
12	в нем	7	10
13	никогда не	15	9
14	не было	2	9
15	потому что	9	9
16	прежде всего	5	9
17	он был	3	8
18	но он	4	7
19	нет ничего	2	7
20	он не	8	7
21	в его	6	7
22	все это	3	6
23	как и	2	6
24	то что	12	5
25	а в	12	5
26	о его	2	5
27	в том	6	5
28	в этой	4	5
29	т е	29	4
30	того чтобы	2	4
31	и его	3	4
32	все эти	4	4
33	не может	5	4
34	что в	12	4
35	к нему	5	3
36	в этих	11	3
37	и есть	5	3
38	это не	2	3
39	что он	24	3
40	того что	3	3
41	хотя бы	2	3
42	еще не	9	3
43	могут быть	2	3
44	и ее	2	3
45	в себе	4	3
46	было бы	5	3
47	когда он	3	3
48	в русской	5	3
49	о том	3	3
50	как бы	6	3
51	это за	2	3
52	подойти к	2	2
53	уже в	2	2
54	с которой	2	2
55	все же	9	2
56	что и	6	2
57	ее в	2	2
58	он в	3	2
59	и для	2	2
60	с тем	9	2
61	так и	5	2
62	что у	2	2
63	не все	2	2
64	все еще	2	2
65	его не	2	2
66	в которой	2	2
67	в других	3	2
68	том что	7	2
69	так что	6	2
70	в другом	9	2
71	и на	4	2
72	и то	2	2
73	что они	10	2
74	сказать что	2	2
75	и с	4	2
76	тем что	4	2
77	одно из	2	2
78	вместо того	2	2
79	его в	10	2
80	должен был	3	2
81	так как	14	2
82	к этой	4	2
83	ничего не	7	2
84	и из	2	2
85	к ней	2	2
86	но в	6	2
87	же можно	3	2
