N	3gram	Vygotskiy__1	StatiiOP
1	в том что	15	11
2	не может быть	5	5
3	с другой стороны	9	4
4	в то время	5	4
5	в этом отношении	4	4
6	во всяком случае	3	4
7	с точки зрения	18	4
8	то время как	4	4
9	о том что	6	4
10	то же время	2	3
11	на то что	3	3
12	прежде всего в	2	3
13	в то же	2	3
14	с самого начала	8	2
15	все более и	2	2
16	независимо от того	2	2
17	к тому что	3	2
18	до сих пор	4	2
19	только тогда когда	2	2
20	в том чтобы	3	2
21	с одной стороны	8	2
22	а с другой	2	2
23	заключается в том	6	2
24	более и более	2	2
