N	2gram	Savitsky_E_1	TeoriaLi
1	в мире	2	24
2	не только	18	18
3	в качестве	14	17
4	и не	14	16
5	а в	2	14
6	в частности	5	13
7	и в	37	13
8	может быть	6	12
9	так и	10	12
10	то есть	6	12
11	представляет собой	3	11
12	в этом	12	11
13	в том	11	11
14	но не	5	10
15	а не	2	10
16	в его	2	9
17	то же	15	9
18	что в	21	8
19	но и	14	8
20	в себе	9	7
21	том что	6	7
22	во второй	3	7
23	в данном	3	7
24	точки зрения	23	7
25	по своей	2	7
26	в то	16	7
27	только в	9	7
28	как это	4	7
29	место в	3	6
30	же время	14	6
31	как бы	6	6
32	но в	14	6
33	в своем	14	5
34	или иного	4	5
35	или иной	4	5
36	а также	7	5
37	в ее	8	5
38	как и	7	5
39	не в	5	5
40	в пределах	25	5
41	между ними	2	5
42	в самом	4	5
43	того или	4	5
44	данном случае	2	5
45	как в	3	5
46	он не	2	5
47	тем самым	5	5
48	с другой	7	5
49	между тем	8	5
50	в свою	3	4
51	можно сказать	4	4
52	в своей	8	4
53	то что	6	4
54	по преимуществу	2	4
55	в их	11	4
56	не может	9	4
57	сказать что	4	4
58	хотя и	2	4
59	всего лишь	3	4
60	мира и	3	4
61	в порядке	2	3
62	никогда не	3	3
63	в этих	2	3
64	в отношении	32	3
65	этом смысле	3	3
66	прежде всего	9	3
67	и к	3	3
68	свою очередь	2	3
69	по своему	7	3
70	того что	7	3
71	мог бы	2	3
72	в сторону	2	3
73	той или	4	3
74	и потому	5	3
75	другой стороны	2	3
76	таким образом	2	3
77	именно в	4	3
78	мира в	4	3
79	и что	2	3
80	и по	5	3
81	или в	2	3
82	и то	2	3
83	потому что	3	3
84	в этой	2	3
85	отношении к	15	3
86	но на	3	2
87	если бы	2	2
88	могут быть	2	2
89	между собой	2	2
90	жизни в	3	2
91	того же	3	2
92	вовсе не	6	2
93	по себе	4	2
94	к тому	8	2
95	при условии	2	2
96	но как	2	2
97	и того	2	2
98	и как	2	2
99	одной стороны	8	2
100	в большинстве	2	2
101	во втором	2	2
102	одной из	5	2
103	вслед за	6	2
104	имеет место	2	2
105	иначе говоря	2	2
106	даже в	4	2
107	и тем	3	2
108	к нему	2	2
109	к такой	2	2
110	в культуре	3	2
111	тем в	3	2
112	на уровне	2	2
113	во всех	6	2
114	вместе с	2	2
115	со стороны	5	2
116	а именно	2	2
117	не на	4	2
118	и для	3	2
119	с одной	8	2
120	в той	5	2
121	и некоторые	3	2
122	с точки	17	2
123	и даже	6	2
124	и притом	4	2
125	во всей	2	2
126	так же	9	2
127	культуры в	4	2
128	существования в	3	2
129	на себя	3	2
130	как будто	2	2
131	о том	3	2
132	в области	11	2
133	имеет в	2	2
