N	2gram	Voloshinov_1	Otkroven
1	и в	12	19
2	но и	3	13
3	и не	10	13
4	в этом	4	12
5	а не	5	11
6	не в	4	11
7	может быть	14	11
8	не только	4	11
9	и все	2	10
10	в нем	6	10
11	никогда не	5	9
12	прежде всего	8	9
13	до конца	2	7
14	нет ничего	2	7
15	он не	2	7
16	в его	2	7
17	все это	3	6
18	как и	5	6
19	то что	5	5
20	отношение к	4	5
21	в том	6	5
22	для него	3	5
23	в самом	4	5
24	в творчестве	3	5
25	с его	2	4
26	что не	4	4
27	и его	13	4
28	все эти	3	4
29	не может	16	4
30	что в	2	4
31	к нему	4	3
32	в этих	2	3
33	это не	2	3
34	того что	3	3
35	хотя бы	5	3
36	еще не	3	3
37	могут быть	2	3
38	и ее	3	3
39	в себе	3	3
40	когда он	3	3
41	о том	3	3
42	с ним	3	3
43	как бы	13	3
44	уже в	2	2
45	все же	4	2
46	что и	2	2
47	не есть	2	2
48	в душе	2	2
49	и для	3	2
50	так и	4	2
51	в своем	2	2
52	как к	3	2
53	к этому	2	2
54	по себе	3	2
55	и к	4	2
56	ко всем	2	2
57	том что	5	2
58	и на	4	2
59	и то	2	2
60	сказать что	7	2
61	и с	3	2
62	его в	4	2
63	в своей	3	2
64	так как	9	2
65	ничего не	2	2
66	но в	5	2
67	и потому	2	2
