N	2gram	Vinokur_Vv_1	formyVre
1	и в	27	46
2	в этом	34	22
3	прежде всего	8	14
4	и т	43	14
5	вовсе не	6	13
6	и его	5	12
7	только в	13	11
8	не только	21	11
9	во всех	2	11
10	т п	5	11
11	в том	31	10
12	как бы	5	10
13	точки зрения	7	10
14	но в	10	10
15	не в	8	9
16	вместе с	6	9
17	но и	5	9
18	и не	13	9
19	и для	4	9
20	в связи	2	8
21	связи с	3	8
22	как и	5	8
23	в его	10	8
24	жизни и	2	8
25	то же	8	8
26	того чтобы	21	8
27	для того	21	8
28	с точки	2	8
29	потому что	14	8
30	из них	3	8
31	в них	4	7
32	в одном	4	7
33	может быть	24	7
34	то что	17	7
35	времени в	3	7
36	и на	3	7
37	никогда не	3	6
38	при этом	3	6
39	как мы	9	6
40	еще не	4	6
41	его в	6	6
42	все же	8	6
43	все это	6	6
44	в особенности	4	6
45	так как	13	6
46	и с	2	6
47	в частности	3	5
48	в своем	3	5
49	с этим	2	5
50	по существу	2	5
51	в дальнейшем	2	5
52	в то	5	5
53	но не	7	5
54	и др	2	5
55	в нем	13	5
56	что в	11	5
57	все эти	3	5
58	должно быть	2	5
59	уже в	5	4
60	с этой	4	4
61	из этих	5	4
62	же время	5	4
63	значение и	2	4
64	том что	26	4
65	так что	5	4
66	есть и	4	4
67	вопросу о	2	4
68	том же	2	4
69	в котором	4	4
70	а не	3	4
71	также и	16	4
72	в себе	4	4
73	в истории	9	4
74	о том	15	4
75	о чем	4	3
76	того же	3	3
77	к этому	3	3
78	как уже	2	3
79	к тому	4	3
80	что он	4	3
81	и как	9	3
82	тем более	2	3
83	в качестве	7	3
84	в прошлом	2	3
85	хотя и	3	3
86	а также	3	3
87	в этот	2	3
88	что и	3	3
89	отношение к	3	3
90	в форме	2	3
91	т д	37	3
92	таким образом	19	3
93	в их	11	3
94	уже не	5	3
95	того что	12	3
96	и даже	5	3
97	а в	5	3
98	в которых	6	3
99	и совершенно	2	3
100	тем что	6	3
101	в другом	3	3
102	на протяжении	2	3
103	же самое	2	3
104	в этих	3	3
105	не могли	2	3
106	в виду	4	3
107	литературы в	3	2
108	на этом	3	2
109	до того	2	2
110	по своему	5	2
111	и есть	3	2
112	говорить о	3	2
113	на котором	2	2
114	лежит в	2	2
115	с другой	8	2
116	и других	3	2
117	это не	8	2
118	по себе	9	2
119	можно сказать	3	2
120	в отношении	2	2
121	не мог	2	2
122	именно в	8	2
123	у нас	2	2
124	как история	3	2
125	в этой	3	2
126	с тем	6	2
127	совсем не	3	2
128	между ними	2	2
129	смысле слова	7	2
130	до конца	3	2
131	было бы	5	2
132	отсюда и	2	2
133	наряду с	2	2
134	в сущности	3	2
135	в прямом	2	2
136	один из	6	2
137	сих пор	5	2
138	мы видели	2	2
139	после этого	2	2
140	этом случае	6	2
141	быть и	2	2
142	и до	2	2
143	не может	13	2
144	здесь не	2	2
145	этом отношении	3	2
146	с одной	4	2
147	связи между	4	2
148	и вот	3	2
149	в той	7	2
150	жизни как	2	2
151	так же	3	2
152	как на	11	2
153	другом месте	2	2
154	рядом с	2	2
155	каждый из	2	2
156	в данном	11	2
157	от этого	5	2
158	мы имеем	3	2
159	могут быть	4	2
160	что здесь	2	2
161	в конце	3	2
162	как он	6	2
163	и это	6	2
164	как это	5	2
165	во всяком	3	2
166	до сих	5	2
