N	2gram	Tiupa_Narr_1	Problema
1	то есть	9	46
2	в его	6	43
3	и не	23	42
4	и в	11	38
5	не может	8	27
6	может быть	15	26
7	как бы	6	22
8	по отношению	3	21
9	отнюдь не	2	19
10	отношению к	3	19
11	и с	3	17
12	и его	10	16
13	в нем	4	15
14	в этом	12	15
15	прежде всего	4	13
16	только в	12	13
17	но не	4	12
18	и для	2	11
19	в области	2	11
20	к нему	4	10
21	но и	27	9
22	не имеет	2	9
23	не только	31	9
24	в том	8	8
25	и как	3	8
26	точки зрения	5	8
27	то что	9	8
28	входит в	2	8
29	слова в	4	7
30	что в	3	7
31	с другой	2	7
32	не в	6	7
33	в самом	6	7
34	между тем	3	7
35	как и	13	7
36	еще не	4	7
37	в своей	5	7
38	как мы	2	7
39	не всегда	3	6
40	в пределах	2	6
41	а в	13	6
42	все же	4	6
43	дело с	2	6
44	самом деле	3	6
45	мы можем	2	6
46	ничего не	2	6
47	то же	8	5
48	в своем	3	5
49	это не	3	5
50	при этом	19	5
51	имеет место	4	5
52	никогда не	4	5
53	с ним	2	5
54	и о	3	5
55	так и	5	5
56	в отличие	2	5
57	а не	13	5
58	отличие от	2	5
59	не менее	3	4
60	в нашем	3	4
61	в ней	4	4
62	в конечном	3	4
63	другой стороны	2	4
64	данном случае	8	4
65	в форме	2	4
66	и только	2	4
67	с ними	2	4
68	сказать что	2	4
69	в то	4	4
70	о том	4	4
71	в произведении	2	4
72	но в	7	4
73	но они	3	4
74	всех его	2	4
75	как в	4	4
76	в романе	2	4
77	тем самым	5	4
78	что не	2	4
79	между ними	2	4
80	хотя бы	2	4
81	в данном	11	4
82	в себе	6	4
83	здесь не	2	4
84	и от	2	3
85	тем не	3	3
86	да и	2	3
87	имеем дело	2	3
88	же время	4	3
89	хотя и	4	3
90	не является	3	3
91	точка зрения	5	3
92	и тем	4	3
93	в целом	3	3
94	и даже	2	3
95	и на	5	3
96	также и	3	3
97	если бы	7	3
98	и все	3	3
99	в событии	2	3
100	она может	2	3
101	событие и	4	3
102	том что	7	3
103	все что	2	3
104	он не	3	3
105	оно не	2	3
106	начало и	3	3
107	в мире	4	3
108	в слове	3	3
109	в таком	2	3
110	на ее	2	3
111	едва ли	3	3
112	в едином	2	2
113	в частности	14	2
114	в равной	2	2
115	в этих	2	2
116	столь же	5	2
117	на то	2	2
118	или иной	4	2
119	можно сказать	5	2
120	но зато	2	2
121	в свою	2	2
122	той или	5	2
123	не вполне	2	2
124	лица и	2	2
125	в связи	2	2
126	в особенности	2	2
127	особенно в	2	2
128	не было	3	2
129	этом отношении	3	2
130	лишь в	3	2
131	того что	4	2
132	в событие	2	2
133	к себе	4	2
134	к его	2	2
135	но как	3	2
136	в начале	3	2
137	же самое	2	2
138	событие в	5	2
139	как это	3	2
140	мы имеем	3	2
141	с его	4	2
142	что он	3	2
143	у нас	3	2
144	связи с	2	2
145	одна из	4	2
146	она не	2	2
147	себя в	2	2
148	в современной	3	2
149	содержание не	2	2
150	человека в	2	2
151	того чтобы	4	2
152	для того	3	2
153	к чему	3	2
154	со словами	2	2
155	и он	6	2
156	и конец	3	2
157	или в	6	2
158	и ее	3	2
159	дело в	2	2
160	в чем	2	2
