N	2gram	Vygotskiy__1	formyVre
1	и в	23	50
2	в этом	17	25
3	и его	6	16
4	прежде всего	10	15
5	и не	9	14
6	как мы	5	14
7	вовсе не	3	13
8	как раз	4	13
9	в его	14	13
10	по существу	4	12
11	так и	5	12
12	человека и	3	11
13	может быть	14	11
14	таким образом	26	11
15	то же	8	11
16	и как	5	10
17	но в	5	10
18	в конце	2	9
19	в том	24	9
20	же время	2	9
21	все эти	4	9
22	в то	7	9
23	не только	16	9
24	с его	4	9
25	ничего не	3	9
26	в самом	7	8
27	но и	14	8
28	и на	8	8
29	как и	14	8
30	жизни и	2	8
31	ни в	4	8
32	для себя	4	7
33	все же	3	6
34	в частности	2	6
35	в их	3	6
36	не может	12	6
37	лишь в	6	6
38	так же	16	6
39	в результате	4	6
40	так как	7	6
41	с этим	6	6
42	и все	5	6
43	связи с	3	6
44	во всех	3	6
45	то что	17	6
46	в ее	2	6
47	как в	4	6
48	между двумя	2	6
49	что в	14	5
50	не в	4	5
51	значение в	3	5
52	и до	2	5
53	время как	4	5
54	в основе	8	5
55	точки зрения	26	5
56	всех этих	2	5
57	но все	2	5
58	если бы	5	5
59	но не	4	5
60	он не	5	5
61	не могло	3	5
62	отношению к	7	5
63	и речи	38	5
64	того чтобы	17	5
65	для того	15	5
66	могут быть	3	5
67	в своем	3	4
68	мы и	3	4
69	и следовательно	3	4
70	в котором	4	4
71	все это	6	4
72	между этими	6	4
73	не имеет	2	4
74	потому что	6	4
75	и с	9	4
76	между собой	5	4
77	в них	2	4
78	то время	5	4
79	в процессе	8	4
80	том что	21	4
81	и то	3	4
82	только в	6	4
83	и это	3	4
84	в основу	2	3
85	в этих	2	3
86	в отношении	10	3
87	к тому	4	3
88	с тем	7	3
89	при этом	4	3
90	себе и	2	3
91	хотя и	2	3
92	один из	2	3
93	со всеми	2	3
94	по отношению	7	3
95	отношения к	3	3
96	этом отношении	4	3
97	с одной	8	3
98	именно в	6	3
99	и других	3	3
100	а в	2	3
101	и те	2	3
102	их в	4	3
103	сказать что	11	3
104	одно из	2	3
105	в одном	4	3
106	был бы	2	3
107	к этому	4	3
108	есть не	2	3
109	в качестве	9	3
110	одно и	2	3
111	в сущности	6	3
112	мы говорили	3	3
113	и потому	2	3
114	вместе с	9	3
115	сих пор	4	3
116	во всей	4	3
117	а не	3	3
118	между ними	2	3
119	мы не	7	3
120	мы видим	4	3
121	с другими	2	3
122	во всяком	3	3
123	и ее	7	3
124	в себе	6	3
125	этими двумя	2	3
126	до сих	4	3
127	уже в	3	2
128	самого начала	8	2
129	же как	6	2
130	никогда не	2	2
131	в течение	2	2
132	в нашем	2	2
133	друг другу	3	2
134	точку зрения	2	2
135	с другой	10	2
136	что все	4	2
137	вопрос о	7	2
138	как если	2	2
139	с самого	8	2
140	смысле слова	3	2
141	в свою	4	2
142	для него	2	2
143	одной стороны	9	2
144	в целом	20	2
145	не к	2	2
146	мы находим	3	2
147	с помощью	13	2
148	того что	15	2
149	и даже	2	2
150	в которых	3	2
151	во всем	3	2
152	что мы	5	2
153	мы должны	5	2
154	как он	3	2
155	тех же	2	2
156	для всех	4	2
157	не является	9	2
158	сравнению с	5	2
159	он должен	2	2
160	в стороне	2	2
161	тогда когда	3	2
162	ясно что	2	2
163	по себе	5	2
164	и к	4	2
165	об этом	3	2
166	в чем	4	2
167	было бы	4	2
168	том же	2	2
169	по сравнению	6	2
170	в своей	4	2
171	к другу	2	2
172	как бы	11	2
173	все другие	2	2
174	ее в	2	2
175	связь между	6	2
176	этой проблемы	8	2
177	если мы	2	2
178	уже не	2	2
179	в значительной	2	2
180	с точки	18	2
181	речи в	14	2
182	хотя бы	4	2
183	в которой	3	2
184	той же	2	2
185	в данном	2	2
186	от этого	2	2
187	тем что	6	2
188	можно назвать	2	2
189	всей его	3	2
190	в каком	3	2
191	его на	2	2
192	слова и	5	2
193	дело в	2	2
194	там где	2	2
