N	2gram	Nazirov_Tv_1	Psycholo
1	то что	8	44
2	и в	21	33
3	в этом	6	28
4	как бы	17	25
5	потому что	5	24
6	может быть	5	22
7	том что	11	22
8	что в	12	21
9	в том	7	21
10	о том	6	20
11	что он	6	20
12	только что	2	15
13	таким образом	5	13
14	и не	7	13
15	так же	3	13
16	сказать что	2	13
17	то есть	12	13
18	все это	10	13
19	к тому	2	12
20	в самом	3	12
21	и все	6	12
22	так как	3	12
23	самом деле	2	12
24	что все	3	11
25	он не	8	11
26	говорит что	2	10
27	что она	2	10
28	не может	4	10
29	в его	13	10
30	в этой	5	9
31	то же	13	9
32	вместе с	2	8
33	в рассказе	3	8
34	как будто	5	8
35	в своем	4	7
36	до конца	2	7
37	так что	2	7
38	в нем	3	7
39	не только	7	7
40	когда он	2	7
41	перед нами	2	6
42	это не	4	6
43	в ней	2	6
44	и т	3	6
45	но он	2	6
46	у него	7	6
47	на самом	3	6
48	а не	5	6
49	в себе	2	6
50	самого начала	3	5
51	никогда не	3	5
52	с самого	3	5
53	и как	4	5
54	в целом	4	5
55	что для	2	5
56	и на	7	5
57	вовсе не	5	5
58	с ним	3	5
59	это и	3	5
60	как и	12	5
61	и его	6	5
62	все же	5	5
63	я не	3	4
64	в частности	2	4
65	это в	3	4
66	из них	2	4
67	жизни и	3	4
68	а в	6	4
69	и других	3	4
70	того что	3	4
71	при помощи	2	4
72	в жизни	2	4
73	к этому	2	4
74	об этом	2	4
75	одна из	2	4
76	говорит о	3	4
77	не будет	2	4
78	в своей	4	4
79	ее в	3	4
80	в двух	2	4
81	что не	2	4
82	той же	3	4
83	только в	5	4
84	с офицером	2	4
85	в которой	3	4
86	не то	2	4
87	точно так	2	3
88	в мире	4	3
89	что его	2	3
90	тот же	2	3
91	вслед за	2	3
92	но если	3	3
93	был бы	2	3
94	с ее	3	3
95	но и	3	3
96	здесь мы	2	3
97	он видит	3	3
98	в своих	5	3
99	в то	15	3
100	та же	4	3
101	нет ни	2	3
102	в основе	2	3
103	но не	3	3
104	он говорит	3	3
105	это означало	2	3
106	что и	2	3
107	так и	2	3
108	как в	8	3
109	во всей	2	3
110	тем самым	7	3
111	за то	2	3
112	и он	2	3
113	в виде	3	3
114	эти слова	2	3
115	т п	2	3
116	далеко не	3	3
117	место в	3	2
118	уже в	3	2
119	не был	3	2
120	с другой	3	2
121	в одной	2	2
122	и от	4	2
123	прежде всего	4	2
124	ее и	2	2
125	такой же	2	2
126	времени и	4	2
127	же время	12	2
128	в нашей	2	2
129	при этом	7	2
130	или вот	2	2
131	и та	2	2
132	некоторые из	2	2
133	в виду	2	2
134	в котором	6	2
135	один из	4	2
136	в их	3	2
137	именно в	2	2
138	и наконец	2	2
139	воли и	3	2
140	больше чем	2	2
141	и с	3	2
142	не в	2	2
143	но в	7	2
144	а как	2	2
145	с его	11	2
146	надо было	2	2
147	это время	2	2
148	представляет собой	3	2
149	можно сказать	2	2
150	не по	3	2
151	и когда	2	2
152	даже в	3	2
153	до этого	2	2
154	хотя бы	5	2
155	ни на	3	2
156	так вот	2	2
157	в русской	5	2
158	героя и	2	2
