N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	28
2	может быть	45	25
3	не может	27	15
4	а не	17	15
5	никогда не	5	14
6	для нас	4	13
7	мы имеем	5	13
8	что в	4	12
9	то же	5	12
10	не только	5	12
11	только в	16	11
12	что он	2	10
13	все же	5	10
14	прежде всего	2	10
15	но и	9	10
16	мы не	3	10
17	в том	6	9
18	о том	3	9
19	то что	7	9
20	и не	26	9
21	не в	12	9
22	так и	2	9
23	что это	3	8
24	если бы	8	8
25	в этом	14	8
26	но в	5	8
27	это не	10	7
28	том что	4	7
29	здесь мы	4	7
30	еще не	4	7
31	было бы	8	7
32	в ней	3	7
33	а в	4	7
34	и здесь	7	7
35	не менее	3	6
36	тем не	2	6
37	что и	7	6
38	в этой	2	6
39	его в	5	6
40	должна быть	4	5
41	не знает	5	5
42	в одном	4	5
43	вопрос о	2	5
44	не должен	3	5
45	но не	12	5
46	в качестве	2	5
47	дело не	2	5
48	в своем	16	5
49	на основе	7	5
50	в его	40	5
51	все это	10	4
52	с тем	2	4
53	там где	5	4
54	но все	5	4
55	но это	6	4
56	и пр	3	4
57	один из	2	4
58	как и	5	4
59	того что	3	4
60	хотя бы	4	4
61	и для	9	4
62	и на	3	4
63	к ним	4	4
64	потому что	2	4
65	в основе	5	4
66	могут быть	3	4
67	все эти	10	4
68	здесь не	3	4
69	я не	6	3
70	не как	4	3
71	по себе	2	3
72	ему в	2	3
73	и эти	2	3
74	именно в	5	3
75	для этого	2	3
76	при этом	4	3
77	и их	6	3
78	в котором	24	3
79	должен быть	7	3
80	отношению к	22	3
81	в современной	3	3
82	в их	8	3
83	уже не	7	3
84	и его	17	3
85	и должен	2	3
86	чтобы не	2	3
87	мы здесь	2	3
88	из которых	2	3
89	к чему	3	3
90	по отношению	26	3
91	тем что	3	3
92	в другом	3	3
93	во всем	7	3
94	в то	3	3
95	дело в	2	3
96	раз и	2	3
97	бы быть	5	3
98	дело с	2	2
99	а с	2	2
100	всех этих	3	2
101	к этому	2	2
102	нисколько не	4	2
103	были бы	2	2
104	разве не	2	2
105	его и	2	2
106	ко мне	6	2
107	мы получим	2	2
108	и потому	2	2
109	вовсе не	7	2
110	вследствие этого	2	2
111	ясно что	3	2
112	в некотором	3	2
113	ни было	4	2
114	его как	5	2
115	в ее	16	2
116	то ни	2	2
117	и как	2	2
118	этот момент	6	2
119	не дает	3	2
120	для него	8	2
121	нет в	4	2
122	и мы	2	2
123	что не	3	2
124	с ним	5	2
125	не по	4	2
126	и когда	2	2
127	как бы	9	2
128	о нем	4	2
129	был бы	3	2
130	как оно	2	2
131	а для	2	2
132	и тем	3	2
133	в нем	28	2
134	это было	2	2
135	не есть	20	2
136	себя в	8	2
137	бы то	2	2
138	в целом	10	2
139	во всех	11	2
140	пройти мимо	2	2
141	конечно не	7	2
142	со стороны	7	2
143	как в	2	2
144	в ту	2	2
145	во всей	4	2
146	и только	6	2
147	он не	6	2
148	в виде	2	2
149	именно на	2	2
150	должно быть	6	2
151	и она	2	2
152	отказаться от	2	2
153	ничего не	3	2
154	ни к	2	2
155	а по	2	2
156	между тем	4	2
157	от этого	2	2
158	вступает в	3	2
159	в себе	21	2
160	и этим	3	2
161	только с	3	2
162	в области	2	2
163	тогда когда	3	2
164	что этот	3	2
