N	2gram	Bakhtin_sl_1	Hudozhes
1	и в	41	28
2	том что	2	19
3	в ее	2	18
4	и не	16	18
5	в том	3	15
6	а не	15	14
7	не в	7	13
8	в этом	12	13
9	о том	3	12
10	перед нами	4	11
11	как и	4	11
12	при этом	6	11
13	в его	13	11
14	не только	16	11
15	уже не	2	10
16	но и	16	9
17	в себе	3	9
18	может быть	14	8
19	себя в	9	8
20	так и	11	8
21	между тем	2	8
22	и все	4	7
23	к тому	3	7
24	в частности	2	7
25	с ним	7	7
26	это не	6	6
27	можно сказать	2	6
28	в котором	2	6
29	в своей	7	6
30	то же	14	6
31	не было	3	6
32	а в	6	6
33	и с	4	6
34	в то	14	6
35	с его	4	5
36	у него	3	5
37	в своем	3	5
38	как бы	12	5
39	как в	8	5
40	с ее	4	5
41	она не	3	5
42	и сам	3	5
43	в самом	5	5
44	никогда не	3	5
45	только на	2	5
46	не могла	2	5
47	и его	14	5
48	рядом с	4	5
49	для него	3	5
50	ничего не	4	5
51	бы и	3	4
52	тому что	2	4
53	то в	2	4
54	но не	2	4
55	что они	2	4
56	в качестве	3	4
57	же время	12	4
58	для того	2	4
59	и о	2	4
60	он не	3	4
61	и т	28	4
62	как раз	2	4
63	не может	14	4
64	только в	6	4
65	в других	3	4
66	а между	2	4
67	как только	3	3
68	все время	3	3
69	в них	6	3
70	характерно что	2	3
71	столь же	2	3
72	с другой	5	3
73	в одном	2	3
74	что все	2	3
75	прежде всего	8	3
76	в нем	30	3
77	и ее	3	3
78	для нас	2	3
79	еще не	4	3
80	одной стороны	4	3
81	было бы	3	3
82	одной из	3	3
83	со своим	5	3
84	среди других	2	3
85	ни о	2	3
86	по преимуществу	4	3
87	в ней	4	3
88	мы уже	2	3
89	в этих	2	3
90	все они	7	3
91	все это	5	3
92	на фоне	7	3
93	а с	2	3
94	с одной	4	3
95	так же	2	3
96	или в	8	3
97	можно было	2	3
98	с другими	5	3
99	с ними	3	3
100	и на	14	3
101	к чужому	6	3
102	к нему	5	3
103	все его	4	3
104	в основе	5	2
105	автора и	4	2
106	его и	3	2
107	именно в	3	2
108	не как	4	2
109	и от	4	2
110	произведения не	2	2
111	из этих	3	2
112	в духе	2	2
113	вовсе не	7	2
114	а как	2	2
115	или иного	2	2
116	автором и	2	2
117	или иной	9	2
118	вместе со	2	2
119	не с	2	2
120	как мы	8	2
121	ли он	4	2
122	они были	2	2
123	же как	2	2
124	одна из	2	2
125	на этом	2	2
126	но именно	4	2
127	без другого	2	2
128	и к	5	2
129	того или	2	2
130	же и	2	2
131	о нем	4	2
132	а также	2	2
133	до сих	2	2
134	не является	2	2
135	один из	4	2
136	оно не	6	2
137	все же	7	2
138	в первом	3	2
139	отношение к	7	2
140	из них	3	2
141	дело не	2	2
142	сих пор	2	2
143	данном случае	3	2
144	между автором	2	2
145	здесь не	2	2
146	т п	23	2
147	в контексте	2	2
148	т д	5	2
149	те же	2	2
150	жизнь в	2	2
151	лишь в	4	2
152	и у	2	2
153	и эта	2	2
154	между ними	2	2
155	хотя бы	3	2
156	и для	4	2
157	с точки	8	2
158	той же	2	2
159	роль в	2	2
160	в данном	3	2
161	и то	2	2
162	сказать что	2	2
163	потому что	2	2
164	различия между	2	2
165	в виде	2	2
166	точки зрения	16	2
167	в другом	2	2
168	его в	3	2
169	зрения на	7	2
170	но в	8	2
