N	2gram	Medvedev_F_2	Tragedij
1	и в	38	18
2	в этом	27	9
3	не только	9	8
4	и не	20	7
5	и на	3	7
6	и с	9	7
7	может быть	23	7
8	как бы	4	7
9	что он	5	6
10	и его	21	6
11	же время	5	6
12	но в	4	6
13	все же	8	5
14	что это	3	5
15	так и	8	5
16	это не	2	5
17	не может	14	5
18	то же	6	5
19	в дальнейшем	4	5
20	как и	9	5
21	в то	5	5
22	но и	13	4
23	то что	6	4
24	в целом	3	4
25	что в	7	4
26	все это	3	4
27	прежде всего	15	4
28	и все	3	4
29	в нем	13	4
30	и даже	4	4
31	том что	2	4
32	но это	2	4
33	в этой	6	4
34	уже в	2	3
35	один из	2	3
36	отнюдь не	8	3
37	в конце	2	3
38	как в	4	3
39	все эти	6	3
40	тем самым	2	3
41	и как	3	3
42	к нему	3	3
43	должно быть	2	3
44	в его	10	3
45	для него	7	3
46	при этом	9	3
47	как это	2	3
48	с ним	2	3
49	не имеет	2	2
50	перед нами	2	2
51	и до	3	2
52	не могут	7	2
53	что и	8	2
54	раз и	4	2
55	в отличие	2	2
56	то и	3	2
57	в известной	2	2
58	а как	3	2
59	не просто	2	2
60	уже не	7	2
61	с его	11	2
62	отношение к	2	2
63	к тому	4	2
64	между этими	3	2
65	столь же	2	2
66	не так	2	2
67	и здесь	3	2
68	ни в	2	2
69	он был	2	2
70	в ее	2	2
71	в том	11	2
72	до конца	2	2
73	отличие от	2	2
74	но все	3	2
75	в таком	2	2
76	не в	15	2
77	вряд ли	2	2
78	и то	2	2
79	потому что	2	2
80	ничем не	2	2
81	в первом	7	2
82	с тем	11	2
83	тем что	8	2
84	чем он	4	2
85	он и	3	2
86	и ее	6	2
87	было в	2	2
88	его в	3	2
89	и это	2	2
90	в самом	16	2
91	этими двумя	2	2
92	ничего не	4	2
93	он не	6	2
94	никогда не	2	2
