N	3gram	Vygotskiy__1	Myshleni
1	в том что	9	31
2	заключается в том	6	14
3	с точки зрения	2	11
4	с одной стороны	5	9
5	в этом смысле	2	8
6	с другой стороны	5	8
7	смысле этого слова	2	7
8	то же самое	2	7
9	в собственном смысле	3	7
10	в этом отношении	2	7
11	в самом деле	7	6
12	так же как	4	5
13	не только не	3	5
14	для того чтобы	5	5
15	и той же	3	4
16	на то что	8	4
17	с этой точки	4	4
18	этой точки зрения	5	4
19	одной и той	3	4
20	с таким образом	8	3
21	точно так же	3	3
22	о том что	7	3
23	состоит в том	2	3
24	во всяком случае	6	3
25	вместе с тем	2	3
26	мы видим что	2	2
27	в противоречие с	2	2
28	только в том	3	2
29	в отличие от	3	2
30	в целом ряде	2	2
31	в настоящее время	2	2
32	подобно тому как	5	2
33	в том чтобы	7	2
34	в одинаковой мере	2	2
35	мы видели что	2	2
