N	2gram	Tiupa_Disk_2	KFilosof
1	может быть	16	43
2	в его	3	39
3	в нем	7	31
4	не может	9	27
5	и не	15	26
6	по отношению	4	25
7	и в	16	22
8	в котором	3	21
9	отношению к	4	21
10	в себе	19	21
11	а не	14	17
12	и его	3	17
13	только в	3	16
14	точки зрения	4	13
15	в этом	16	13
16	ни в	7	12
17	для него	5	12
18	но не	7	12
19	и это	2	12
20	все эти	3	11
21	в своей	6	11
22	не в	3	11
23	в своем	5	10
24	это не	3	10
25	все это	2	10
26	с точки	2	10
27	в целом	2	9
28	но и	11	9
29	как бы	4	9
30	и все	3	9
31	бытия и	2	9
32	и для	2	9
33	не было	3	8
34	жизни и	3	8
35	со стороны	10	8
36	что и	2	7
37	то что	5	7
38	себя в	6	7
39	в себя	2	7
40	в том	8	6
41	но это	3	6
42	момент в	2	6
43	отношение к	2	6
44	в мире	11	6
45	отнюдь не	6	6
46	он не	3	6
47	уже не	3	6
48	мира в	3	6
49	никогда не	2	5
50	то же	6	5
51	в контексте	3	5
52	именно в	2	5
53	должно быть	2	5
54	в основе	4	5
55	его в	3	5
56	но в	11	5
57	не знает	3	5
58	жизни в	3	5
59	как и	16	5
60	не только	10	5
61	для себя	2	5
62	ни одно	2	5
63	все же	6	5
64	мы имеем	2	5
65	жизни как	2	5
66	времени и	2	4
67	место в	2	4
68	что в	5	4
69	входит в	2	4
70	при этом	17	4
71	чем не	2	4
72	в своих	6	4
73	между тем	2	4
74	в одном	4	4
75	мира и	4	4
76	том что	10	4
77	это мир	2	4
78	а в	2	4
79	тем самым	6	4
80	должна быть	2	3
81	не менее	7	3
82	и на	5	3
83	в ней	2	3
84	в то	5	3
85	отсюда и	2	3
86	о том	4	3
87	но здесь	2	3
88	или иного	2	3
89	еще не	6	3
90	могут быть	3	3
91	в другом	3	3
92	здесь не	2	3
93	а с	5	2
94	прежде всего	7	2
95	вследствие этого	2	2
96	или иной	3	2
97	к которой	2	2
98	и как	3	2
99	основе своей	2	2
100	соответствии с	3	2
101	же время	5	2
102	не о	2	2
103	в принципе	2	2
104	потому что	4	2
105	может иметь	2	2
106	той или	3	2
107	говорить о	2	2
108	я и	4	2
109	ни к	5	2
110	с его	6	2
111	и то	4	2
112	к этому	4	2
113	что он	2	2
114	и того	3	2
115	в соответствии	2	2
116	в качестве	16	2
117	не нужно	2	2
118	и может	3	2
119	этом мире	2	2
120	жизни но	3	2
121	так и	9	2
122	как в	8	2
123	чего не	3	2
124	сводится к	2	2
125	в данном	7	2
126	всей своей	3	2
127	в этой	4	2
128	дело в	2	2
129	в области	2	2
