N	2gram	Savitsky_E_1	Myshleni
1	в том	11	33
2	том что	6	27
3	точки зрения	23	26
4	в развитии	2	26
5	то что	6	20
6	в этом	12	19
7	с точки	17	18
8	того что	7	17
9	и в	37	15
10	не только	18	15
11	что в	21	14
12	таким образом	2	14
13	того чтобы	6	12
14	в самом	4	11
15	в процессе	4	11
16	но и	14	10
17	было бы	8	10
18	для того	6	10
19	мы не	4	10
20	мы можем	3	10
21	в своем	14	9
22	может быть	6	9
23	не является	3	9
24	не может	9	9
25	о том	3	9
26	так и	10	8
27	никогда не	3	8
28	не в	5	8
29	заключается в	2	8
30	и что	2	8
31	если бы	2	8
32	к тому	8	7
33	одной стороны	8	7
34	с одной	8	7
35	и не	14	7
36	на основе	2	7
37	потому что	3	7
38	как бы	6	7
39	по себе	4	7
40	он не	2	7
41	во всяком	3	7
42	что это	2	6
43	в частности	5	6
44	в отношении	32	6
45	как мы	5	6
46	в этой	2	6
47	на то	6	6
48	мы видели	3	6
49	с другой	7	6
50	сказать что	4	6
51	в истории	2	6
52	мы должны	2	6
53	как это	4	6
54	но в	14	6
55	вовсе не	6	6
56	и к	3	6
57	как и	7	6
58	по своей	2	6
59	вместе с	2	6
60	на этот	2	6
61	всяком случае	3	6
62	там где	3	6
63	представление о	2	5
64	вопрос о	4	5
65	и даже	6	5
66	сравнению с	2	5
67	тогда когда	2	5
68	по сравнению	2	5
69	то же	15	5
70	во всей	2	5
71	можно было	3	5
72	этот вопрос	2	5
73	независимо от	4	4
74	прежде всего	9	4
75	что все	2	4
76	потребность в	3	4
77	для нас	4	4
78	несмотря на	4	4
79	в них	3	4
80	не имеет	4	4
81	так же	9	4
82	а в	2	4
83	и с	2	4
84	с и	10	4
85	при помощи	2	4
86	так как	7	4
87	к которым	5	4
88	мы видим	2	4
89	в качестве	14	4
90	в своей	8	4
91	даже в	4	4
92	как в	3	4
93	из того	2	4
94	хотя бы	15	4
95	с в	2	4
96	только в	9	4
97	в эту	2	4
98	он сам	2	3
99	но на	3	3
100	очевидно что	3	3
101	не можем	2	3
102	в общем	3	3
103	точка зрения	2	3
104	из них	3	3
105	данном случае	2	3
106	со стороны	5	3
107	и только	3	3
108	этом отношении	3	3
109	и по	5	3
110	с другими	2	3
111	в которых	3	3
112	в результате	3	3
113	с мы	2	3
114	и все	2	3
115	с этим	2	3
116	идет о	3	3
117	тем более	4	3
118	но не	5	3
119	того же	3	3
120	одной из	5	3
121	когда он	3	3
122	бы и	3	3
123	во власти	2	3
124	тем самым	5	3
125	а не	2	3
126	или в	2	3
127	в данном	3	3
128	чем в	4	2
129	можно считать	3	2
130	не могут	2	2
131	на всем	4	2
132	же как	5	2
133	что если	2	2
134	относятся к	2	2
135	в другой	2	2
136	в этих	2	2
137	столь же	5	2
138	с этой	6	2
139	или иной	4	2
140	можно сказать	4	2
141	что на	2	2
142	и можно	2	2
143	и как	2	2
144	и более	2	2
145	иными словами	4	2
146	не дает	3	2
147	вопрос не	2	2
148	и мы	3	2
149	друг с	3	2
150	на язык	2	2
151	той или	4	2
152	в котором	2	2
153	и тем	3	2
154	могут быть	2	2
155	в некоторых	2	2
156	в их	11	2
157	целый ряд	2	2
158	и других	2	2
159	которую мы	5	2
160	в других	2	2
161	в применении	3	2
162	но если	5	2
163	во все	3	2
164	также и	7	2
165	мира и	3	2
166	а также	7	2
167	в одном	2	2
168	от этого	5	2
169	в известном	3	2
170	и теперь	2	2
171	уже и	3	2
172	отнюдь не	9	2
173	в стороне	3	2
174	этом смысле	3	2
175	бы ни	3	2
176	стороны и	6	2
177	именно в	4	2
178	приводит нас	2	2
179	из всех	3	2
180	представляет собой	3	2
181	друг от	2	2
182	от друга	2	2
183	наряду с	2	2
184	иначе говоря	2	2
185	к ней	4	2
186	в его	2	2
187	что и	3	2
188	ее в	3	2
189	во всех	6	2
190	что же	2	2
191	и для	3	2
192	в течение	5	2
193	но с	2	2
194	есть ли	2	2
195	и эта	2	2
196	нас к	2	2
197	в силу	2	2
198	тому чтобы	2	2
199	тем что	3	2
200	само по	4	2
201	в себе	9	2
202	с другом	3	2
203	заметить что	2	2
