N	2gram	Voloshinov_1	Poddanst
1	не только	8	17
2	и в	19	14
3	и не	26	12
4	в области	3	11
5	в отношении	4	10
6	в этом	16	10
7	то же	7	9
8	в том	6	9
9	в качестве	2	9
10	но в	7	9
11	хотя бы	5	8
12	в пределах	6	8
13	же время	3	7
14	в то	3	7
15	только в	9	7
16	но и	8	6
17	в ней	4	6
18	в смысле	6	6
19	xix века	3	6
20	было бы	4	6
21	с другой	5	5
22	не в	5	5
23	и пр	12	5
24	отношении к	4	5
25	может быть	26	5
26	в котором	3	4
27	то что	8	4
28	что в	4	4
29	если бы	2	4
30	в своем	2	4
31	не может	24	4
32	по себе	4	4
33	и к	3	4
34	а в	4	4
35	том что	3	4
36	мы должны	3	4
37	в русской	2	4
38	как бы	15	4
39	и потому	5	4
40	в нем	10	3
41	прежде всего	13	3
42	для того	4	3
43	с точки	20	3
44	сводится к	3	3
45	мы не	6	3
46	и как	3	3
47	между тем	3	3
48	могут быть	2	3
49	точки зрения	34	3
50	в себе	2	3
51	тот же	4	3
52	не менее	4	2
53	том числе	2	2
54	для них	2	2
55	именно в	5	2
56	и есть	3	2
57	во всех	7	2
58	в частности	2	2
59	не будем	4	2
60	отнюдь не	6	2
61	все это	3	2
62	как раз	2	2
63	не столько	4	2
64	в тот	2	2
65	с этим	4	2
66	и других	2	2
67	а не	7	2
68	того что	3	2
69	слова но	2	2
70	должно быть	2	2
71	в ее	7	2
72	одна из	2	2
73	из важнейших	2	2
74	является в	3	2
75	переход от	4	2
76	не было	3	2
77	в начале	5	2
78	из них	3	2
79	и это	3	2
80	в его	6	2
81	и с	2	2
