N	2gram	Nazirov_Tr_1	KulturaY
1	и в	18	23
2	в том	2	22
3	не только	8	17
4	в этом	9	16
5	может быть	7	14
6	что в	4	13
7	в самом	2	13
8	потому что	2	12
9	вопрос о	2	11
10	том что	4	11
11	в его	3	11
12	и не	7	10
13	прежде всего	4	9
14	еще не	4	9
15	уже не	2	8
16	и что	4	7
17	должно быть	3	7
18	в данном	2	7
19	все эти	3	7
20	как это	3	7
21	с тем	2	6
22	что и	2	6
23	что он	6	6
24	при этом	3	6
25	так и	5	6
26	не может	5	6
27	то же	5	6
28	о том	2	6
29	ничего не	2	6
30	я не	4	5
31	не могут	2	5
32	как и	5	5
33	не в	2	5
34	что она	2	5
35	как бы	7	5
36	все же	5	5
37	но это	4	5
38	тем что	2	5
39	в первом	2	5
40	один из	3	4
41	в целом	4	4
42	не случайно	2	4
43	столь же	2	4
44	в ее	2	4
45	то что	4	4
46	данном случае	2	4
47	как в	3	4
48	в своем	3	4
49	тем самым	3	4
50	в таком	2	4
51	уже в	3	3
52	что это	5	3
53	это уже	2	3
54	отнюдь не	3	3
55	это не	5	3
56	к тому	2	3
57	как же	2	3
58	ни в	2	3
59	по поводу	2	3
60	он не	2	3
61	отношение к	2	3
62	но и	4	3
63	не имеет	2	3
64	не так	2	3
65	и с	7	3
66	бы и	2	3
67	в то	5	3
68	все это	4	2
69	а что	2	2
70	но все	2	2
71	о чем	3	2
72	в частности	2	2
73	раз и	2	2
74	в одном	2	2
75	что все	2	2
76	и я	2	2
77	я все	2	2
78	и здесь	2	2
79	и как	3	2
80	в дальнейшем	5	2
81	мог бы	3	2
82	его в	2	2
83	своего рода	3	2
84	то и	2	2
85	в отличие	2	2
86	не просто	2	2
87	так же	4	2
88	только о	2	2
89	еще раз	2	2
90	в русском	2	2
91	что эти	2	2
92	отличие от	2	2
93	но в	6	2
94	имеет в	2	2
