N	2gram	Bakhtin_Pr_1	Komedia
1	и в	29	22
2	и не	31	21
3	т е	21	16
4	том что	7	13
5	в том	8	12
6	таким образом	12	12
7	так как	6	11
8	ни в	3	10
9	потому что	8	10
10	до сих	2	9
11	в самом	10	9
12	сих пор	2	9
13	если бы	9	8
14	в своем	8	8
15	что он	8	8
16	в его	24	8
17	что и	4	8
18	в этом	22	8
19	его в	6	8
20	при этом	2	7
21	то же	14	7
22	а в	7	7
23	в конце	6	7
24	еще не	5	6
25	может быть	24	6
26	как раз	6	6
27	самом деле	6	6
28	и что	2	6
29	так что	2	6
30	и его	14	6
31	в то	10	6
32	связи с	2	5
33	что в	8	5
34	же время	9	5
35	прежде всего	7	5
36	и сам	2	5
37	не только	15	5
38	в своей	8	5
39	отношение к	2	5
40	все это	6	5
41	по отношению	8	5
42	он не	5	5
43	тем что	4	5
44	к нему	6	5
45	в которых	2	5
46	к себе	2	5
47	с ним	5	5
48	но в	7	5
49	он знает	3	4
50	самого начала	2	4
51	но все	5	4
52	у него	5	4
53	однако в	2	4
54	с другой	3	4
55	вовсе не	7	4
56	и здесь	3	4
57	все же	9	4
58	не в	7	4
59	не дает	3	4
60	до конца	8	4
61	несмотря на	6	4
62	в ней	2	4
63	и т	4	4
64	то что	15	4
65	но и	14	4
66	на него	3	4
67	что она	6	4
68	т п	3	4
69	в отношении	2	4
70	а не	22	4
71	и для	4	4
72	друг друга	3	4
73	так же	6	4
74	точки зрения	19	4
75	на себя	2	4
76	в себе	7	4
77	бы в	3	4
78	так и	7	4
79	хотя бы	2	4
80	и с	4	4
81	с его	9	3
82	никогда не	3	3
83	в них	3	3
84	то ни	2	3
85	с этой	2	3
86	с этим	2	3
87	в нем	19	3
88	далеко не	3	3
89	идет о	4	3
90	нисколько не	2	3
91	и к	2	3
92	не позволяет	2	3
93	как и	12	3
94	в этой	4	3
95	чем в	2	3
96	все что	3	3
97	было бы	5	3
98	бы он	2	3
99	конечно не	2	3
100	на этот	2	3
101	как бы	19	3
102	один из	2	3
103	отношению к	8	3
104	в целом	6	3
105	приводит к	3	3
106	не может	12	3
107	с точки	13	3
108	и даже	2	3
109	их в	4	3
110	во всяком	5	3
111	не о	2	3
112	не знает	3	3
113	и этим	3	3
114	из своего	2	3
115	в которой	2	3
116	ничего не	5	3
117	всяком случае	3	3
118	в основе	4	2
119	на вопрос	2	2
120	он понимает	2	2
121	уже в	3	2
122	все время	2	2
123	ни было	2	2
124	себя и	2	2
125	не как	14	2
126	чтобы в	2	2
127	как в	6	2
128	это не	9	2
129	нового времени	3	2
130	в одном	10	2
131	именно потому	2	2
132	не могут	6	2
133	для понимания	2	2
134	а как	7	2
135	по существу	3	2
136	из его	2	2
137	хоть и	3	2
138	за ним	3	2
139	она не	7	2
140	бы то	2	2
141	в пределах	13	2
142	тот же	2	2
143	только как	2	2
144	на его	2	2
145	в сущности	5	2
146	за пределы	7	2
147	в произведениях	3	2
148	и о	5	2
149	одним из	6	2
150	от того	4	2
151	конце концов	5	2
152	между ними	2	2
153	ни одной	2	2
154	в котором	2	2
155	был бы	6	2
156	если же	3	2
157	и со	2	2
158	в их	3	2
159	как мы	4	2
160	другой стороны	3	2
161	в изображении	2	2
162	отношения к	3	2
163	не было	4	2
164	этом отношении	3	2
165	человека в	4	2
166	в мире	6	2
167	из которых	2	2
168	с другими	7	2
169	можно было	2	2
170	в своих	3	2
171	и на	7	2
172	в результате	4	2
173	тому что	3	2
174	между тем	5	2
175	и во	2	2
176	он и	5	2
177	и ее	2	2
178	нет ни	2	2
179	е в	2	2
180	его на	2	2
181	и это	5	2
