N	2gram	Potebnia_M_4	Psycholo
1	то что	29	32
2	и в	23	31
3	в том	23	30
4	и т	7	26
5	то есть	34	26
6	что в	17	23
7	может быть	26	22
8	таким образом	24	20
9	при помощи	3	20
10	при этом	15	19
11	так как	14	18
12	не может	11	17
13	как и	14	16
14	том что	12	16
15	и не	18	16
16	т п	4	16
17	точки зрения	4	15
18	только в	15	14
19	а не	12	13
20	не только	10	13
21	что и	7	13
22	так же	4	12
23	если мы	2	12
24	мы не	8	12
25	в этом	23	12
26	в самом	3	11
27	могут быть	7	11
28	не в	11	11
29	в области	2	11
30	на то	7	10
31	в сущности	2	10
32	художественное произведение	2	10
33	того что	14	10
34	потому что	33	10
35	по себе	11	9
36	как в	7	9
37	самом деле	3	9
38	никогда не	3	8
39	вместе с	6	8
40	все это	5	8
41	т д	3	8
42	и что	7	8
43	во всяком	5	8
44	что мы	10	8
45	что он	4	7
46	есть в	5	7
47	только тогда	5	7
48	на основании	4	7
49	и его	2	7
50	того чтобы	4	7
51	тому как	2	7
52	сказать что	8	7
53	о том	8	7
54	что это	7	6
55	вовсе не	7	6
56	очевидно что	7	6
57	внутренняя форма	2	6
58	было бы	8	6
59	если бы	13	6
60	из этих	2	6
61	всяком случае	3	6
62	а в	5	6
63	что она	2	6
64	для того	6	6
65	и даже	2	6
66	в его	5	6
67	и есть	3	5
68	само по	5	5
69	и все	4	5
70	тогда когда	8	5
71	в ее	2	5
72	так что	5	5
73	мы видим	2	5
74	для нас	14	5
75	она не	2	5
76	как бы	5	5
77	в процессе	3	5
78	и для	2	5
79	то же	14	5
80	с и	2	5
81	с другой	2	5
82	это есть	3	5
83	подобно тому	2	5
84	в то	4	5
85	к тому	3	4
86	в которой	6	4
87	в котором	4	4
88	в виду	3	4
89	тому что	2	4
90	столь же	2	4
91	и так	3	4
92	в себе	14	4
93	указывает на	2	4
94	чтобы понять	2	4
95	что я	11	4
96	формы в	3	4
97	работа мысли	3	4
98	и если	3	4
99	у нас	2	4
100	и о	4	4
101	один из	2	4
102	в этих	3	4
103	со стороны	3	4
104	те же	3	4
105	и у	2	4
106	в своих	2	4
107	мы можем	10	4
108	в искусстве	3	4
109	этого слова	7	4
110	мы различаем	2	4
111	там где	3	4
112	между тем	9	4
113	мы имеем	4	4
114	уже в	5	3
115	не могут	2	3
116	с тем	7	3
117	только не	3	3
118	состоит в	2	3
119	к которым	3	3
120	в своем	8	3
121	по тому	2	3
122	что у	3	3
123	в состоянии	2	3
124	точно так	2	3
125	что все	4	3
126	в каждом	3	3
127	представить себе	2	3
128	вопрос о	2	3
129	и к	6	3
130	что на	2	3
131	мысль что	3	3
132	но это	3	3
133	в силу	7	3
134	не будет	3	3
135	все что	2	3
136	не можем	5	3
137	до сих	4	3
138	из которых	2	3
139	например в	3	3
140	хотя и	5	3
141	в слове	22	3
142	он не	2	3
143	и когда	2	3
144	с психологической	2	3
145	но мы	2	3
146	сих пор	4	3
147	не есть	9	3
148	так и	6	3
149	только на	4	3
150	не было	12	3
151	и других	3	3
152	от того	4	3
153	должны быть	3	3
154	это обстоятельство	2	3
155	и по	3	3
156	той же	3	3
157	в таком	4	3
158	в которых	3	3
159	в обществе	2	3
160	и только	3	3
161	с этим	7	3
162	внутренней формы	10	3
163	слова в	3	3
164	внутреннюю форму	3	3
165	что эти	3	3
166	и это	2	3
167	когда мы	6	3
168	мысли в	2	3
169	что по	2	3
170	на деле	2	3
171	но в	8	3
172	не менее	5	2
173	не существует	2	2
174	на вопрос	4	2
175	уже и	2	2
176	независимо от	6	2
177	в другой	2	2
178	и как	2	2
179	но даже	2	2
180	до тех	6	2
181	и состоит	3	2
182	и без	2	2
183	в них	3	2
184	том случае	3	2
185	имеет в	2	2
186	человека и	3	2
187	не всегда	3	2
188	с ним	5	2
189	и здесь	2	2
190	и вместе	3	2
191	есть не	4	2
192	когда оно	2	2
193	там же	3	2
194	оно есть	2	2
195	том и	2	2
196	тем не	4	2
197	есть для	5	2
198	уже не	3	2
199	и потому	10	2
200	только о	2	2
201	это можно	2	2
202	что даже	2	2
203	такой степени	6	2
204	есть нечто	5	2
205	но что	2	2
206	тот же	2	2
207	и может	4	2
208	и тот	3	2
209	по поводу	4	2
210	чувственный образ	11	2
211	что такое	7	2
212	образы и	3	2
213	и их	3	2
214	к другим	2	2
215	том же	2	2
216	и следовательно	3	2
217	даже в	2	2
218	и понятия	2	2
219	и тем	4	2
220	в нем	7	2
221	не знаем	2	2
222	отношение к	2	2
223	но и	11	2
224	что же	5	2
225	мысли и	7	2
226	как мы	2	2
227	только что	3	2
228	то и	4	2
229	в нас	3	2
230	что есть	3	2
231	и таким	3	2
232	слова то	4	2
233	же самое	4	2
234	на самом	3	2
235	тем самым	4	2
236	мысли а	2	2
237	в науке	3	2
238	к нему	5	2
239	есть только	5	2
240	с точки	3	2
241	от него	2	2
242	к значению	2	2
243	что то	3	2
244	нас в	2	2
245	к ним	2	2
246	их в	3	2
247	бы ни	2	2
248	и с	4	2
249	что только	2	2
250	из виду	2	2
251	в каком	4	2
252	мысли но	4	2
253	бы и	5	2
254	в сознании	4	2
255	и то	5	2
256	бы в	2	2
257	ту же	3	2
258	в поэзии	3	2
259	теми же	2	2
260	если же	4	2
261	его в	4	2
262	таком случае	2	2
263	из этого	2	2
264	одном из	2	2
265	внешняя форма	3	2
266	поэзии и	7	2
267	не то	5	2
268	в одном	4	2
269	как она	2	2
270	стало быть	8	2
