N	3gram	Vinokur_Vv_1	Problema
1	о том что	12	14
2	тем не менее	8	12
3	во всяком случае	3	10
4	в этом случае	6	7
5	в конце концов	2	7
6	и то что	2	7
7	и т д	37	6
8	по крайней мере	4	6
9	так или иначе	4	6
10	как будто бы	2	5
11	в этом смысле	10	5
12	в данном случае	4	5
13	то же самое	2	5
14	с одной стороны	4	5
15	с другой стороны	5	5
16	в связи с	2	5
17	не говоря уже	2	4
18	только в том	2	4
19	до сих пор	5	4
20	сама по себе	3	4
21	в то же	5	4
22	в том что	12	4
23	и в этом	3	3
24	что иное как	4	3
25	одной стороны и	3	3
26	можно сказать что	3	3
27	точно так же	2	3
28	хотя бы и	2	3
29	есть не что	2	3
30	не что иное	4	3
31	не может быть	8	3
32	для того чтобы	21	2
33	по этому поводу	2	2
34	в самом деле	5	2
35	вопрос о том	5	2
36	не только в	4	2
37	можно было бы	3	2
38	само по себе	3	2
39	может быть и	2	2
40	и той же	2	2
41	одной и той	2	2
42	заключается в том	3	2
