N	3gram	Vinokur_Vv_1	Problema
1	по отношению к	4	19
2	и т п	5	13
3	не может быть	8	11
4	с точки зрения	2	6
5	в отличие от	3	5
6	в данном случае	4	4
7	имеет дело с	2	4
8	с другой стороны	5	4
9	то же время	5	3
10	в самом деле	5	3
11	в то же	5	3
12	с одной стороны	4	3
13	можно было бы	3	3
14	тем не менее	8	3
15	в применении к	6	3
16	в этом смысле	10	3
17	в том что	12	3
18	то же самое	2	2
19	не могут быть	2	2
20	не только в	4	2
21	можно сказать что	3	2
22	в строгом смысле	3	2
23	в этом отношении	3	2
24	для того чтобы	21	2
