N	3gram	Vinokur_Ku_2	Psycholo
1	для того чтобы	8	19
2	на то что	2	16
3	в том что	10	14
4	в зависимости от	4	6
5	в самом деле	7	5
6	с другой стороны	7	5
7	в этом отношении	3	3
8	в лучшем случае	3	3
9	вместе с тем	2	3
10	на этот вопрос	2	3
11	и т д	14	3
12	можно было бы	9	3
13	и т п	24	3
14	можно сказать что	2	2
15	в конце концов	3	2
16	мы знаем что	2	2
17	в отличие от	2	2
18	и в самом	2	2
19	так же как	2	2
20	с точки зрения	8	2
21	не может быть	4	2
22	не только в	4	2
23	само по себе	5	2
24	на самом деле	2	2
25	по себе не	2	2
26	в этом случае	2	2
27	потому что он	2	2
