N	2gram	Bakhtin_KF_1	SlovoVZh
1	не может	27	16
2	точки зрения	12	14
3	может быть	45	14
4	и его	17	13
5	как бы	9	13
6	и в	24	12
7	отношению к	22	11
8	по отношению	26	11
9	и не	26	10
10	если бы	8	9
11	прежде всего	2	8
12	для нас	4	7
13	в нем	28	6
14	в процессе	2	6
15	при этом	4	6
16	в том	6	6
17	только в	16	6
18	к содержанию	2	6
19	в ней	3	6
20	в жизни	2	5
21	то что	7	5
22	должна быть	4	5
23	никогда не	5	5
24	а не	17	5
25	то же	5	5
26	хотя бы	4	5
27	как и	5	5
28	том что	4	5
29	отнюдь не	6	5
30	как в	2	5
31	но в	5	5
32	в виду	3	5
33	ни было	4	4
34	все же	5	4
35	отношение к	5	4
36	жизни и	8	4
37	так и	2	4
38	от того	3	4
39	на самом	3	4
40	уже не	7	4
41	что не	3	4
42	не в	12	4
43	в этом	14	4
44	и на	3	4
45	его в	5	4
46	дело в	2	4
47	к нему	12	4
48	не только	5	4
49	в котором	24	3
50	отношении к	2	3
51	бы то	2	3
52	не менее	3	3
53	в своей	10	3
54	быть и	3	3
55	все это	10	3
56	как к	2	3
57	то ни	2	3
58	ее и	6	3
59	все эти	10	3
60	ясно что	3	3
61	по себе	2	3
62	но и	9	3
63	и пр	3	3
64	того что	3	3
65	тем не	2	3
66	ни в	12	3
67	самом деле	3	3
68	мы не	3	3
69	о том	3	3
70	в каком	4	3
71	и ее	2	3
72	в себе	21	3
73	для него	8	3
74	еще не	4	3
75	и для	9	3
76	конечно не	7	3
77	здесь не	3	3
78	с ним	5	3
79	но для	2	3
80	между тем	4	3
81	место в	5	2
82	что и	7	2
83	независимо от	3	2
84	но все	5	2
85	что в	4	2
86	оценки и	2	2
87	себя и	2	2
88	не остается	2	2
89	в своем	16	2
90	но конечно	3	2
91	это не	10	2
92	дело с	2	2
93	смысл и	6	2
94	мы имеем	5	2
95	и все	7	2
96	бы не	3	2
97	тогда когда	3	2
98	содержания и	2	2
99	к этому	2	2
100	эти моменты	2	2
101	в себя	7	2
102	конечно в	2	2
103	его к	2	2
104	бы оно	2	2
105	едва ли	2	2
106	не есть	20	2
107	в событии	5	2
108	с точки	9	2
109	и здесь	7	2
110	его как	5	2
111	но это	6	2
112	в данном	2	2
113	в корне	2	2
114	и то	2	2
115	тем как	3	2
116	в момент	3	2
117	но не	12	2
118	быть только	8	2
119	могут быть	3	2
120	имеем в	2	2
121	до конца	3	2
122	в то	3	2
123	и совершенно	3	2
124	и та	2	2
125	там где	5	2
126	оно не	2	2
127	в чем	4	2
128	к ним	4	2
129	ничего не	3	2
130	контекста в	2	2
131	он не	6	2
132	в его	40	2
133	и потому	2	2
134	из него	3	2
