N	2gram	Losev_Dial_4	Narrotol
1	не только	8	32
2	может быть	17	25
3	но и	4	23
4	в качестве	2	21
5	и не	30	20
6	и в	15	19
7	в том	11	18
8	в этом	11	17
9	в частности	2	14
10	том что	10	14
11	не в	8	14
12	а не	18	12
13	то что	16	11
14	не может	11	10
15	точки зрения	14	10
16	при этом	2	9
17	со стороны	3	9
18	так и	5	9
19	в его	4	9
20	в себе	8	8
21	как и	7	7
22	еще не	4	7
23	все же	2	7
24	как в	3	7
25	с его	5	6
26	что он	7	6
27	то в	5	6
28	именно в	5	6
29	в себя	5	6
30	тем самым	3	6
31	как это	2	6
32	о том	5	6
33	но в	3	6
34	и как	4	5
35	отнюдь не	4	5
36	по себе	13	5
37	можно сказать	5	5
38	себя в	2	5
39	уже не	9	5
40	и его	7	5
41	в данном	3	5
42	в основе	10	5
43	отличие от	2	5
44	в этой	4	5
45	перед нами	6	4
46	прежде всего	11	4
47	в нем	5	4
48	что не	3	4
49	то же	9	4
50	да и	2	4
51	но все	2	4
52	в силу	4	4
53	же время	6	4
54	было бы	9	4
55	одной из	2	4
56	той или	4	4
57	как бы	14	4
58	о нем	2	4
59	и тем	6	4
60	хотя бы	4	4
61	другой стороны	2	4
62	в особенности	4	4
63	из которых	3	4
64	не мог	2	4
65	сказать что	6	4
66	только в	7	4
67	и с	4	4
68	не менее	2	3
69	что в	7	3
70	могут быть	3	3
71	никогда не	2	3
72	из этих	2	3
73	но о	2	3
74	в свою	3	3
75	тем не	2	3
76	ни в	8	3
77	это и	9	3
78	что они	4	3
79	свою очередь	2	3
80	в сущности	5	3
81	хотя и	6	3
82	в ней	5	3
83	и даже	6	3
84	мог бы	2	3
85	один из	4	3
86	не есть	40	3
87	с ее	10	3
88	не будет	2	3
89	из них	2	3
90	жизни и	4	3
91	когда он	3	3
92	в ее	2	3
93	а именно	6	3
94	даже не	2	3
95	то ни	4	3
96	то или	3	3
97	или иначе	2	3
98	и на	5	3
99	о ней	2	3
100	тем что	2	3
101	не о	4	3
102	в то	6	3
103	как будто	2	3
104	что это	13	3
105	или иное	3	2
106	бы не	2	2
107	как формы	3	2
108	должна быть	7	2
109	себя и	3	2
110	в своем	5	2
111	себе не	2	2
112	в противоположность	2	2
113	оно не	2	2
114	та же	3	2
115	не как	4	2
116	точно так	2	2
117	личности в	5	2
118	не всегда	3	2
119	в собственном	3	2
120	что именно	7	2
121	что на	2	2
122	его как	2	2
123	что иное	8	2
124	говорит о	3	2
125	или иную	2	2
126	субъекта и	5	2
127	только о	3	2
128	ту или	2	2
129	есть в	4	2
130	не что	8	2
131	она не	4	2
132	в аспекте	2	2
133	от одного	2	2
134	и когда	2	2
135	и потому	3	2
136	нет и	2	2
137	не имеет	14	2
138	во всей	2	2
139	есть всегда	3	2
140	так же	4	2
141	как раз	4	2
142	и только	2	2
143	отношения к	3	2
144	не было	2	2
145	все эти	3	2
146	этой точки	2	2
147	совершенно не	3	2
148	что мы	7	2
149	того или	2	2
150	и для	5	2
151	с точки	9	2
152	это не	12	2
153	или в	7	2
154	тому как	4	2
155	в результате	6	2
156	тем более	6	2
157	однако в	2	2
158	всей его	2	2
159	подобно тому	4	2
160	и ее	8	2
161	но как	2	2
162	говорить о	11	2
163	и все	11	2
164	это все	2	2
165	а если	3	2
166	ничего не	17	2
167	что по	2	2
168	мы имеем	5	2
169	иное как	8	2
170	более не	3	2
171	истории и	2	2
