N	2gram	Tiupa_Anal_3	Formalny
1	и в	18	24
2	в его	7	23
3	прежде всего	5	22
4	и не	12	20
5	так и	14	18
6	не может	2	16
7	точки зрения	3	16
8	в этом	14	15
9	в нем	2	14
10	может быть	9	14
11	с точки	2	13
12	таким образом	4	13
13	в своем	4	11
14	не менее	4	11
15	как и	14	11
16	в их	6	11
17	и ее	2	10
18	то же	3	10
19	в ней	2	10
20	а не	9	10
21	и его	13	10
22	и потому	2	9
23	все это	3	9
24	в то	3	9
25	в ее	3	8
26	же время	3	8
27	именно в	3	8
28	в свою	5	8
29	то что	2	8
30	как в	3	8
31	лишь в	5	8
32	произведения и	2	8
33	и на	4	8
34	не в	6	8
35	и от	2	7
36	не только	22	7
37	с ее	3	7
38	но и	13	7
39	отнюдь не	4	6
40	и все	2	6
41	и здесь	2	6
42	было бы	3	6
43	в том	9	6
44	в этой	6	6
45	самом деле	2	6
46	свою очередь	4	6
47	в пределах	4	6
48	еще не	6	6
49	как бы	10	6
50	в целом	3	6
51	входит в	2	6
52	а в	10	6
53	отношения к	2	6
54	все эти	2	6
55	как это	3	6
56	по себе	4	5
57	в искусстве	2	5
58	при этом	11	5
59	во всех	2	5
60	в самом	5	5
61	со стороны	9	5
62	с другой	7	5
63	но в	2	5
64	с его	8	4
65	в частности	12	4
66	никогда не	5	4
67	не как	2	4
68	и к	4	4
69	в мире	5	4
70	одной стороны	2	4
71	всяком случае	2	4
72	отношению к	7	4
73	по отношению	7	4
74	что в	9	4
75	с одной	2	4
76	во всяком	2	4
77	но не	7	3
78	в них	2	3
79	в жизни	2	3
80	что он	4	3
81	к тому	6	3
82	его как	3	3
83	для него	6	3
84	это и	2	3
85	и как	4	3
86	в большинстве	2	3
87	в каждом	3	3
88	со всеми	2	3
89	в общем	2	3
90	он не	6	3
91	один из	2	3
92	все же	4	3
93	же в	2	3
94	когда он	2	3
95	в особенности	3	3
96	не было	3	3
97	не для	2	3
98	сводится к	2	3
99	мы не	3	3
100	тем самым	4	3
101	и даже	8	3
102	его в	3	3
103	жизнь и	3	3
104	литературных произведений	3	3
105	в себе	2	3
106	как к	2	3
107	этого слова	2	3
108	роли в	3	3
109	здесь не	3	3
110	так сказать	2	3
111	сама по	2	2
112	вступает в	3	2
113	с тем	2	2
114	это не	2	2
115	с этим	3	2
116	произведение искусства	4	2
117	в одном	4	2
118	в году	3	2
119	уже не	5	2
120	тот или	2	2
121	в противовес	2	2
122	одна из	2	2
123	подход к	2	2
124	только в	2	2
125	не от	2	2
126	на языке	3	2
127	как раз	7	2
128	только не	3	2
129	не с	2	2
130	что и	5	2
131	не есть	4	2
132	вместе с	2	2
133	художественного целого	6	2
134	не могла	2	2
135	и вот	2	2
136	приводит к	4	2
137	его не	3	2
138	в результате	5	2
139	между тем	5	2
140	на его	2	2
141	могла бы	2	2
142	ничего не	3	2
143	в произведении	3	2
144	во всем	3	2
145	произведения как	2	2
