N	2gram	Tiupa_Disk_1	PoTuStor
1	может быть	17	17
2	и в	16	16
3	прежде всего	11	9
4	таким образом	3	9
5	в этом	15	9
6	и его	2	8
7	точки зрения	3	8
8	не может	9	8
9	с его	4	7
10	сказать что	3	7
11	не только	28	7
12	и к	4	6
13	для него	4	6
14	при этом	13	6
15	отношение к	4	5
16	еще не	14	5
17	как бы	5	5
18	в нем	9	4
19	отнюдь не	8	4
20	но и	14	4
21	так и	8	4
22	хотя бы	3	4
23	и все	2	4
24	мысли и	2	4
25	и не	11	4
26	как мы	2	4
27	и ее	2	4
28	можно сказать	5	4
29	и даже	3	4
30	и на	5	4
31	в этой	2	4
32	с ее	2	4
33	только в	7	4
34	но в	8	4
35	в его	7	4
36	что в	4	3
37	и есть	2	3
38	во всех	5	3
39	и др	2	3
40	могут быть	4	3
41	отношения к	2	3
42	в одном	2	3
43	к себе	2	3
44	крайней мере	2	3
45	в том	23	3
46	а в	5	3
47	том что	19	3
48	и как	6	3
49	то что	5	3
50	в основе	7	3
51	на этом	2	3
52	по крайней	2	3
53	едва ли	2	3
54	во всяком	2	3
55	и потому	3	3
56	не менее	2	2
57	один из	3	2
58	что и	3	2
59	не есть	2	2
60	как не	3	2
61	в частности	9	2
62	никогда не	2	2
63	что не	4	2
64	между собой	2	2
65	в них	4	2
66	того же	3	2
67	оно не	2	2
68	определить как	2	2
69	с этим	3	2
70	то же	7	2
71	к этому	2	2
72	сводится к	5	2
73	что он	4	2
74	и т.п	12	2
75	в науке	2	2
76	и по	2	2
77	но зато	2	2
78	как и	16	2
79	они не	2	2
80	на ранних	2	2
81	но отнюдь	2	2
82	есть в	2	2
83	по своему	3	2
84	можно определить	2	2
85	при всей	3	2
86	в начале	2	2
87	на протяжении	2	2
88	в пределах	2	2
89	и вообще	2	2
90	о том	8	2
91	в самом	3	2
92	но как	2	2
93	за пределы	2	2
94	в своей	5	2
95	и о	4	2
96	к другим	2	2
97	к ним	3	2
