N	3gram	Losev_Dial_2	Marksizm
1	с точки зрения	8	20
2	не может быть	3	13
3	в самом деле	3	9
4	до сих пор	2	8
5	в связи с	4	7
6	с другой стороны	4	5
7	с самого начала	2	4
8	то же самое	2	3
9	может быть и	3	3
10	в то же	3	3
11	то же время	4	3
12	можно сказать что	3	3
13	внутреннего и внешнего	2	3
14	в том что	6	3
15	не могут быть	2	2
16	от того что	2	2
17	в таком случае	3	2
18	тем не менее	2	2
19	сама по себе	7	2
20	при этом условии	2	2
21	во всяком случае	2	2
22	и прежде всего	2	2
23	как и все	2	2
