N	3gram	Bakhtin_Pr_2	formyVre
1	то же время	5	9
2	и т п	9	8
3	человека и его	2	7
4	в то же	5	6
5	к себе самому	3	4
6	в то время	2	3
7	одно и то	2	3
8	мы уже говорили	3	3
9	до сих пор	7	3
10	и то же	2	3
11	с самим собою	5	3
12	по отношению к	5	3
13	не может быть	4	3
14	друг на друга	2	2
15	той или иной	3	2
16	с точки зрения	8	2
17	друг к другу	2	2
18	как и в	3	2
19	то время как	2	2
20	в отличие от	4	2
21	как если бы	2	2
22	как раз и	2	2
23	может быть и	2	2
24	с самим собой	3	2
25	к тому же	3	2
26	здесь не место	2	2
27	но все же	2	2
