N	2gram	Medvedev_U_1	Literetu
1	и не	8	22
2	и в	14	16
3	не только	10	14
4	но и	4	14
5	в этом	7	14
6	а не	10	12
7	то что	7	12
8	может быть	6	12
9	в том	2	12
10	в частности	3	11
11	не в	2	10
12	то же	5	9
13	в то	3	9
14	том что	2	8
15	не может	7	8
16	в этой	4	8
17	в противовес	2	7
18	в своей	3	7
19	же время	3	7
20	только в	2	7
21	с его	2	6
22	с другой	4	6
23	эстетического объекта	6	6
24	в его	2	6
25	в себе	2	6
26	это не	3	5
27	что он	2	5
28	как и	3	5
29	этом отношении	2	5
30	но не	2	4
31	по существу	2	4
32	и для	2	4
33	одним из	2	4
34	прежде всего	8	3
35	о чем	2	3
36	в самом	2	3
37	в сторону	2	3
38	бы и	2	3
39	самом деле	2	3
40	не случайно	2	3
41	в области	3	3
42	но в	3	3
43	между тем	2	3
44	художественного произведения	2	2
45	ни было	3	2
46	если бы	2	2
47	все они	2	2
48	то ни	3	2
49	не как	3	2
50	в конце	2	2
51	по себе	2	2
52	у нас	3	2
53	художественного творчества	5	2
54	для него	3	2
55	было бы	3	2
56	что и	2	2
57	все же	3	2
58	бы то	3	2
59	как раз	2	2
60	и только	5	2
61	художественное произведение	5	2
62	если не	2	2
63	другой стороны	3	2
64	мы и	2	2
65	и с	2	2
66	тем что	2	2
67	же самое	2	2
68	могли бы	2	2
