N	2gram	Tiupa_Teor_1	StatiiOP
1	и в	18	29
2	том что	9	27
3	в том	16	27
4	в этом	8	21
5	но и	9	19
6	что в	9	19
7	не только	16	19
8	в его	6	13
9	то что	3	11
10	все это	2	11
11	в которой	2	11
12	к тому	2	10
13	таким образом	3	10
14	в своем	4	9
15	так и	10	9
16	и не	13	9
17	потому что	3	9
18	он не	3	9
19	как раз	2	8
20	но в	9	8
21	в самом	4	7
22	в виду	5	7
23	я не	2	7
24	в своей	6	7
25	вместе с	2	7
26	тому что	2	7
27	об этом	2	6
28	в одном	2	6
29	вовсе не	3	6
30	одним из	2	6
31	и что	3	6
32	и его	8	6
33	прежде всего	2	5
34	была бы	3	5
35	в той	2	5
36	в качестве	24	5
37	как бы	5	5
38	своего рода	7	5
39	а не	9	5
40	того что	4	5
41	между тем	5	5
42	точки зрения	9	5
43	в русской	6	5
44	времени и	2	4
45	именно в	3	4
46	в частности	16	4
47	с другой	7	4
48	в романе	3	4
49	не в	7	4
50	для него	2	4
51	и к	3	4
52	и о	4	4
53	хотя и	3	4
54	в нем	4	4
55	дело в	2	4
56	в другом	3	4
57	не менее	4	3
58	в этих	3	3
59	не является	4	3
60	но он	3	3
61	на себя	2	3
62	могло быть	2	3
63	ни в	2	3
64	у нас	2	3
65	но не	9	3
66	одной из	2	3
67	никогда не	4	3
68	и даже	2	3
69	не могло	2	3
70	другой стороны	5	3
71	как в	5	3
72	в их	2	3
73	а с	3	3
74	и по	2	3
75	так же	2	3
76	и здесь	2	3
77	отношении к	2	3
78	в отношении	3	2
79	с его	5	2
80	только не	2	2
81	и другие	2	2
82	если бы	3	2
83	в сочетании	2	2
84	в них	2	2
85	в какой	2	2
86	в словаре	2	2
87	в конце	2	2
88	что и	2	2
89	тем не	3	2
90	в ее	5	2
91	как и	4	2
92	и как	2	2
93	в этой	3	2
94	в то	6	2
95	по своему	2	2
96	случае не	2	2
97	такого рода	8	2
98	может быть	17	2
99	первой части	2	2
100	и потому	2	2
101	а также	6	2
102	на почве	4	2
103	даже в	3	2
104	только в	6	2
105	сочетании с	2	2
106	ее в	2	2
107	как говорит	3	2
108	дело не	2	2
109	со стороны	2	2
110	или менее	2	2
111	не на	2	2
112	не может	4	2
113	тогда как	15	2
114	то же	7	2
115	все эти	2	2
116	при этом	12	2
117	в отличие	6	2
118	более или	2	2
119	по пути	3	2
120	с точки	3	2
121	в данном	8	2
122	сказать что	3	2
123	языка в	4	2
124	на меня	3	2
125	в себе	9	2
126	его в	2	2
127	и это	2	2
128	и который	2	2
129	как это	8	2
130	того же	3	2
131	отличие от	6	2
132	в области	4	2
133	это было	2	2
