N	2gram	Bakhtin_Fr_3	TeoriaLi
1	в мире	4	24
2	не только	13	18
3	и не	13	16
4	а в	3	14
5	в частности	3	13
6	и в	40	13
7	может быть	9	12
8	так и	3	12
9	то есть	18	12
10	при этом	3	11
11	в этом	15	11
12	в том	8	11
13	но не	2	10
14	а не	5	10
15	и его	17	10
16	в его	13	9
17	то же	7	9
18	что в	12	8
19	своего рода	2	8
20	такого рода	3	8
21	отношению к	2	8
22	но и	11	8
23	по отношению	3	8
24	в себе	3	7
25	том что	4	7
26	в отличие	3	7
27	в данном	4	7
28	точки зрения	2	7
29	в то	6	7
30	только в	3	7
31	отличие от	3	7
32	с его	3	6
33	же время	6	6
34	еще не	3	6
35	в первой	2	6
36	лишь в	2	6
37	как бы	3	6
38	но в	8	6
39	в своем	7	5
40	или иной	2	5
41	а также	4	5
42	в ее	3	5
43	как и	11	5
44	между ними	3	5
45	в самом	6	5
46	в нем	5	5
47	данном случае	2	5
48	как в	3	5
49	он не	9	5
50	с другой	2	5
51	между тем	3	5
52	не менее	2	4
53	можно сказать	2	4
54	ни в	4	4
55	в своей	6	4
56	то что	5	4
57	отношение к	8	4
58	по преимуществу	2	4
59	в форме	2	4
60	в их	4	4
61	и т.п	10	4
62	не может	3	4
63	сказать что	3	4
64	но он	2	4
65	и ее	2	4
66	слова в	2	3
67	и др	7	3
68	в нашем	4	3
69	в этих	6	3
70	прежде всего	16	3
71	и к	3	3
72	для него	5	3
73	и сам	2	3
74	например в	2	3
75	той или	2	3
76	и потому	4	3
77	этого слова	2	3
78	как раз	5	3
79	так в	4	3
80	таким образом	10	3
81	именно в	2	3
82	в другом	3	3
83	и вот	2	3
84	потому что	2	3
85	нового времени	2	3
86	в основе	5	3
87	в этой	3	3
88	все эти	8	3
89	о чем	2	2
90	если бы	3	2
91	в конце	3	2
92	того же	2	2
93	это не	2	2
94	вовсе не	12	2
95	в литературе	5	2
96	что он	2	2
97	об этом	3	2
98	но как	2	2
99	и как	3	2
100	одной из	2	2
101	здесь мы	2	2
102	в виду	7	2
103	к жизни	2	2
104	даже в	4	2
105	к нему	2	2
106	в целом	2	2
107	в культуре	4	2
108	во всех	6	2
109	вместе с	3	2
110	дело не	3	2
111	здесь не	3	2
112	в романе	15	2
113	и для	5	2
114	это и	2	2
115	в году	5	2
116	в той	6	2
117	и о	4	2
118	и даже	4	2
119	во всей	3	2
120	роль в	4	2
121	в мировой	4	2
122	их в	3	2
123	у него	8	2
124	и здесь	4	2
125	о том	4	2
126	и это	2	2
127	в которой	2	2
128	в области	4	2
129	имеет в	2	2
