N	2gram	Potebnia_M_3	slovoVRo
1	и в	30	39
2	может быть	28	37
3	и т	5	35
4	и его	4	33
5	т п	2	33
6	то есть	34	26
7	не только	21	24
8	и не	15	22
9	но и	19	21
10	не может	6	20
11	в нем	9	19
12	все это	4	16
13	в этом	10	16
14	так и	11	15
15	а не	15	14
16	слова в	7	13
17	как в	10	13
18	слово в	4	11
19	вовсе не	7	10
20	к своему	2	9
21	не в	15	9
22	языка и	2	9
23	и с	2	9
24	прежде всего	3	8
25	словом и	5	8
26	оно не	4	8
27	слова и	5	8
28	таким образом	14	8
29	точки зрения	2	8
30	слово как	5	7
31	при этом	3	7
32	для него	9	7
33	еще не	5	7
34	в его	4	7
35	как бы	3	7
36	и потому	4	7
37	и даже	2	7
38	как мы	7	7
39	могут быть	3	7
40	о слове	2	7
41	с ним	6	7
42	в них	5	6
43	все же	2	6
44	как и	10	6
45	в своем	5	6
46	языка в	5	6
47	но не	7	6
48	она не	2	6
49	жизни и	2	6
50	там где	3	6
51	в слове	32	6
52	так сказать	2	6
53	не могут	5	5
54	с другой	7	5
55	и все	3	5
56	и слова	2	5
57	со словом	4	5
58	по себе	16	5
59	для нас	20	5
60	том что	18	5
61	но все	2	5
62	одной стороны	3	5
63	только в	21	5
64	в том	32	5
65	например в	6	5
66	один из	4	5
67	слово и	3	5
68	с одной	7	5
69	уже не	6	5
70	и наконец	2	5
71	от него	2	5
72	не менее	5	4
73	себя и	4	4
74	язык не	2	4
75	ни в	2	4
76	художественный образ	2	4
77	отношению к	5	4
78	же время	5	4
79	в смысле	4	4
80	слова не	2	4
81	сливается с	2	4
82	по отношению	5	4
83	входит в	2	4
84	то же	23	4
85	что оно	11	4
86	в таком	3	4
87	а в	12	4
88	с другими	5	4
89	слова с	3	4
90	и на	3	4
91	в то	10	4
92	отношении к	2	4
93	отношение к	2	4
94	его в	3	4
95	так как	13	4
96	перед нами	2	3
97	слове как	2	3
98	человеке и	2	3
99	что в	17	3
100	не столько	2	3
101	и от	4	3
102	человека и	5	3
103	в собственном	2	3
104	в свою	3	3
105	сама по	2	3
106	что и	13	3
107	из себя	2	3
108	но это	6	3
109	связи с	2	3
110	единство и	2	3
111	у него	2	3
112	и как	5	3
113	в ней	8	3
114	к нему	3	3
115	собственном смысле	2	3
116	этом отношении	2	3
117	той же	2	3
118	сказать что	5	3
119	между тем	9	3
120	еще раз	2	3
121	говорить о	3	3
122	в чем	3	3
123	уже в	5	2
124	не было	4	2
125	независимо от	5	2
126	слово может	5	2
127	на котором	2	2
128	не образ	2	2
129	того как	4	2
130	тогда когда	9	2
131	не всегда	2	2
132	в себе	16	2
133	что он	6	2
134	что язык	2	2
135	в одно	3	2
136	и оно	3	2
137	и слово	6	2
138	более или	3	2
139	свою очередь	3	2
140	все что	4	2
141	как о	2	2
142	мы уже	2	2
143	или на	2	2
144	за пределы	2	2
145	но оно	6	2
146	же и	3	2
147	к ней	5	2
148	и проч	16	2
149	лишь тогда	2	2
150	даже в	2	2
151	не все	4	2
152	с таким	2	2
153	но мы	2	2
154	сих пор	3	2
155	на его	2	2
156	мы видели	4	2
157	то что	18	2
158	зрения и	2	2
159	не знаем	3	2
160	в свой	2	2
161	вместе с	12	2
162	те же	6	2
163	на него	3	2
164	или менее	3	2
165	внутреннюю форму	5	2
166	в их	2	2
167	в форме	2	2
168	так в	2	2
169	в языке	7	2
170	с этим	6	2
171	т д	3	2
172	в виде	2	2
173	от нас	3	2
174	именно в	3	2
175	слове и	5	2
176	это и	2	2
177	мы не	9	2
178	для сознания	4	2
179	как слово	3	2
180	того чтобы	3	2
181	для того	4	2
182	слов в	2	2
183	говорящего и	3	2
184	или в	3	2
185	на мир	2	2
186	людей и	2	2
187	и при	4	2
188	он не	4	2
189	эти слова	2	2
190	далеко не	4	2
191	но как	2	2
192	не знает	3	2
193	может стать	2	2
194	слова при	3	2
195	одним словом	2	2
196	о том	2	2
197	и между	4	2
198	здесь как	3	2
199	в области	2	2
200	в одном	2	2
201	из него	2	2
202	в новом	2	2
203	до сих	3	2
204	вне себя	2	2
