N	3gram	Vygotskiy__7	Problema
1	тем не менее	3	10
2	в том что	13	9
3	в данном случае	5	7
4	то же самое	5	7
5	и то что	3	7
6	в этом случае	14	5
7	не может быть	4	5
8	в то время	2	4
9	и то же	3	4
10	то время как	2	4
11	потому что он	2	4
12	одно и то	3	3
13	мы могли бы	4	3
14	точно так же	2	3
15	о том что	4	3
16	содержит в себе	3	3
17	заключается в том	4	3
18	и тем самым	4	2
19	по сравнению с	7	2
20	с точки зрения	21	2
21	же как и	2	2
22	в отличие от	2	2
23	можно сказать что	3	2
24	друг от друга	2	2
25	только потому что	3	2
26	как мы видели	3	2
27	до сих пор	3	2
28	этой точки зрения	4	2
29	мы находим в	2	2
30	на самом деле	2	2
