N	2gram	Tiupa_Anal_3	Formalny
1	и в	18	38
2	в этом	14	27
3	может быть	9	23
4	и его	13	21
5	таким образом	4	20
6	и не	12	20
7	в самом	5	16
8	прежде всего	5	15
9	не в	6	15
10	не может	2	14
11	в нем	2	13
12	но и	13	13
13	в пределах	4	12
14	с его	8	11
15	с тем	2	11
16	в том	9	11
17	в его	7	10
18	как и	14	9
19	при этом	11	9
20	не только	22	9
21	отнюдь не	4	8
22	что и	5	8
23	все же	4	8
24	так и	14	8
25	самом деле	2	8
26	тем что	2	8
27	точки зрения	3	8
28	что в	9	7
29	по себе	4	7
30	для него	6	7
31	во втором	4	7
32	этом отношении	3	7
33	лишь в	5	7
34	уже не	5	7
35	с точки	2	7
36	в первом	2	7
37	не было	3	6
38	в результате	5	6
39	то что	2	6
40	и ее	2	6
41	в ней	2	6
42	в этой	6	6
43	было бы	3	6
44	вместе с	2	6
45	в их	6	6
46	то же	3	6
47	все эти	2	6
48	а не	9	6
49	как раз	7	6
50	могут быть	2	6
51	он не	6	6
52	только в	2	6
53	а в	10	6
54	в общем	2	5
55	что он	4	5
56	именно в	3	5
57	это и	2	5
58	же время	3	5
59	в слове	5	5
60	по преимуществу	2	5
61	во всех	2	5
62	с этим	3	5
63	и для	2	5
64	сводится к	2	5
65	говорить о	3	5
66	в то	3	5
67	во всяком	2	5
68	всяком случае	2	5
69	не столько	3	4
70	не как	2	4
71	к этому	3	4
72	к тому	6	4
73	в дальнейшем	2	4
74	что они	3	4
75	в большинстве	2	4
76	совершенно не	2	4
77	здесь и	3	4
78	в сущности	5	4
79	известной степени	3	4
80	как бы	10	4
81	и к	4	4
82	как в	3	4
83	другой стороны	5	4
84	входит в	2	4
85	в особенности	3	4
86	что не	3	4
87	и даже	8	4
88	там где	2	4
89	здесь не	3	4
90	ничего не	3	4
91	но в	2	4
92	если в	3	3
93	с другой	7	3
94	из этих	3	3
95	и здесь	2	3
96	и как	4	3
97	например в	2	3
98	значительной степени	2	3
99	не является	5	3
100	не есть	4	3
101	в целом	3	3
102	все это	3	3
103	и прежде	2	3
104	так в	3	3
105	до известной	3	3
106	в значительной	2	3
107	произведения и	2	3
108	роль в	3	3
109	мы не	3	3
110	и на	4	3
111	хотя и	2	3
112	однако и	3	3
113	он и	3	3
114	как к	2	3
115	и все	2	3
116	его в	3	3
117	так сказать	2	3
118	уже в	3	2
119	никогда не	5	2
120	состоит в	4	2
121	в качестве	12	2
122	перед нами	4	2
123	столь же	4	2
124	от его	2	2
125	это не	2	2
126	произведение искусства	4	2
127	в конце	5	2
128	с нею	2	2
129	в тех	2	2
130	его как	3	2
131	в ее	3	2
132	том что	12	2
133	то в	2	2
134	но не	7	2
135	очевидно что	2	2
136	но как	3	2
137	со своей	8	2
138	едва ли	3	2
139	без исключения	3	2
140	даже в	2	2
141	один из	2	2
142	не будет	3	2
143	во второй	7	2
144	со стороны	9	2
145	приводит к	4	2
146	поскольку он	3	2
147	его не	3	2
148	в той	2	2
149	тем самым	4	2
150	и по	2	2
151	отличие от	2	2
152	сказать что	2	2
153	между тем	5	2
154	всякое высказывание	2	2
155	и от	2	2
156	в отличие	2	2
157	литературных произведений	3	2
158	в искусстве	2	2
159	вопроса о	2	2
160	как это	3	2
161	произведения как	2	2
