N	2gram	Voloshinov_1	RusskieA
1	и в	15	36
2	не только	5	22
3	что в	6	19
4	том что	5	19
5	в том	4	17
6	но и	4	16
7	так как	9	15
8	во время	5	14
9	и другие	2	13
10	в этом	13	12
11	в этот	4	10
12	это не	2	10
13	как мы	10	10
14	как и	6	10
15	вместе с	4	10
16	и на	3	10
17	потому что	4	10
18	об этом	4	9
19	а в	6	9
20	у нас	3	8
21	мы увидим	4	8
22	может быть	13	8
23	один из	4	8
24	и по	5	8
25	что и	2	7
26	так и	10	7
27	между тем	2	7
28	и не	16	6
29	при этом	7	6
30	уже не	5	6
31	таким образом	21	6
32	мы не	4	6
33	все это	5	6
34	то что	10	6
35	будто бы	2	6
36	все же	5	5
37	как бы	11	5
38	в течение	2	5
39	и у	6	5
40	с ними	4	5
41	одно из	3	5
42	как в	3	5
43	тому что	3	4
44	из этих	4	4
45	к этому	7	4
46	в первый	4	4
47	к тому	4	4
48	в г	3	4
49	одна из	3	4
50	еще не	7	4
51	не совсем	2	4
52	и др	8	4
53	во всех	8	4
54	не может	13	4
55	и что	3	4
56	того что	2	4
57	но это	2	4
58	только в	6	4
59	не менее	3	3
60	для них	3	3
61	что это	3	3
62	связанные с	2	3
63	в этих	2	3
64	в качестве	2	3
65	в своем	2	3
66	но все	2	3
67	в одном	3	3
68	думать что	2	3
69	в свою	2	3
70	и к	7	3
71	тем не	2	3
72	на этом	5	3
73	не можем	3	3
74	только на	2	3
75	в основном	2	3
76	не будем	2	3
77	но эти	2	3
78	приводит к	2	3
79	то же	7	3
80	с точки	10	3
81	ничего не	2	3
82	их в	2	3
83	точки зрения	13	3
84	далеко не	4	3
85	в области	3	3
86	борьбы с	4	2
87	не было	4	2
88	всех этих	5	2
89	могут быть	6	2
90	в нашем	3	2
91	его и	2	2
92	между собой	4	2
93	с этим	6	2
94	и потому	8	2
95	главным образом	4	2
96	на все	2	2
97	в различных	2	2
98	в нем	4	2
99	у него	3	2
100	в жизни	5	2
101	он был	3	2
102	в дальнейшем	2	2
103	но не	5	2
104	быть и	2	2
105	в большинстве	4	2
106	до конца	5	2
107	она не	2	2
108	отнюдь не	2	2
109	на другие	2	2
110	так называемый	4	2
111	в ней	5	2
112	в его	9	2
113	какой степени	2	2
114	и с	7	2
115	на этой	2	2
116	в целом	2	2
117	и до	3	2
118	что она	2	2
119	как по	2	2
120	находится в	3	2
121	для этого	4	2
122	все эти	9	2
123	на самом	2	2
124	а не	2	2
125	и пр	9	2
126	и для	2	2
127	с ним	12	2
128	в своих	4	2
129	воспоминания о	2	2
130	мы можем	12	2
131	себя и	3	2
132	к ней	2	2
133	на себя	2	2
134	но в	9	2
135	ничего общего	2	2
136	мы должны	7	2
137	большинстве случаев	5	2
138	в более	3	2
