N	3gram	Potebnia_M_1	Psycholo
1	в том что	13	17
2	для того чтобы	2	13
3	с точки зрения	3	10
4	не может быть	9	8
5	и т п	2	8
6	только в том	6	4
7	и той же	3	4
8	одной и той	3	4
9	тем не менее	6	4
10	само по себе	4	3
11	с тем что	3	3
12	что и в	3	3
13	более и более	2	2
14	только потому что	2	2
15	в свою очередь	4	2
16	то же время	3	2
17	все более и	2	2
18	заключает в себе	2	2
19	так как в	2	2
20	к тому что	2	2
21	как и в	2	2
22	бы то ни	2	2
23	и в том	3	2
24	подобно тому как	3	2
25	в то же	3	2
26	и что в	3	2
27	на этот вопрос	2	2
28	и т д	4	2
29	не в том	4	2
30	в том и	2	2
31	с другой стороны	5	2
