N	3gram	Potebnia_M_3	StatiiOP
1	и т д	3	21
2	в том что	16	17
3	для того чтобы	3	10
4	и т п	2	9
5	в этом отношении	2	7
6	до сих пор	3	7
7	с другой стороны	4	6
8	не может быть	3	5
9	то же время	5	4
10	в то же	5	4
11	не только в	4	4
12	так и в	2	4
13	что и в	3	4
14	и в самом	2	3
15	только в том	3	3
16	в том как	3	3
17	по отношению к	5	3
18	в том смысле	3	2
19	в то время	4	2
20	с одной стороны	3	2
21	как и в	2	2
22	тем не менее	3	2
23	и в том	2	2
24	и тем же	3	2
25	по крайней мере	5	2
26	одним и тем	3	2
27	не в том	5	2
28	но и в	4	2
