N	2gram	Vygotskiy__6	Morfolog
1	может быть	13	52
2	таким образом	18	20
3	представляет собой	3	17
4	не может	19	17
5	в этих	2	16
6	могут быть	5	15
7	с этим	4	14
8	и в	28	13
9	в этом	27	13
10	и др	2	12
11	так как	10	12
12	мы видим	7	11
13	связи с	3	11
14	представляют собой	3	10
15	прежде всего	2	9
16	этом случае	2	9
17	так и	6	9
18	в связи	2	9
19	то же	7	9
20	и не	11	9
21	а не	3	9
22	мы имеем	4	9
23	с другой	2	8
24	по существу	2	8
25	что и	4	8
26	вопрос о	5	7
27	в качестве	4	7
28	но если	4	7
29	все же	2	7
30	это не	5	6
31	не могут	5	6
32	и здесь	3	6
33	в том	28	6
34	но не	10	6
35	а в	2	6
36	не менее	2	5
37	если мы	2	5
38	и другие	2	5
39	в ходе	3	5
40	во всех	4	5
41	как бы	11	5
42	один из	3	5
43	то что	28	5
44	образом мы	2	5
45	потому что	22	5
46	мы не	6	5
47	что в	17	4
48	и как	6	4
49	на котором	2	4
50	раньше чем	2	4
51	увидим ниже	2	4
52	отношению к	10	4
53	было бы	9	4
54	не хватает	2	4
55	на его	3	4
56	несмотря на	2	4
57	не только	16	4
58	как в	3	4
59	как мы	10	4
60	другой стороны	2	4
61	так же	15	4
62	по отношению	10	4
63	показать что	5	4
64	как и	6	4
65	там где	7	4
66	что функции	2	4
67	хотя и	3	4
68	тем что	8	4
69	точки зрения	13	4
70	с точки	10	4
71	на этом	4	4
72	его в	6	4
73	в других	2	4
74	только что	2	3
75	независимо от	3	3
76	если бы	7	3
77	в нашем	4	3
78	между собой	9	3
79	он должен	4	3
80	и вызывает	2	3
81	том что	19	3
82	но это	2	3
83	что они	2	3
84	в целом	3	3
85	в пределах	5	3
86	того чтобы	10	3
87	в сущности	7	3
88	как таковое	2	3
89	может существовать	2	3
90	во втором	3	3
91	он не	7	3
92	раз он	2	3
93	в первом	4	3
94	но и	10	3
95	от того	10	3
96	целый ряд	4	3
97	самом деле	2	3
98	первом случае	3	3
99	и по	3	3
100	друг друга	4	3
101	а по	3	3
102	мы можем	9	3
103	из них	2	3
104	в то	6	3
105	мы должны	3	3
106	с того	3	3
107	начинается с	3	3
108	но в	5	3
109	и более	2	2
110	с тем	5	2
111	в частности	4	2
112	эти функции	2	2
113	для каждой	2	2
114	что эта	2	2
115	состоит в	2	2
116	что он	18	2
117	животных и	2	2
118	можно сказать	6	2
119	и к	6	2
120	не с	2	2
121	то в	5	2
122	совершается в	3	2
123	только в	18	2
124	от него	2	2
125	тем и	3	2
126	то время	6	2
127	идет по	2	2
128	для него	6	2
129	один раз	5	2
130	и функции	2	2
131	означает что	2	2
132	мы уже	2	2
133	в ином	3	2
134	оно не	4	2
135	и только	3	2
136	все эти	2	2
137	перейти к	2	2
138	и что	6	2
139	того что	24	2
140	для того	8	2
141	к другой	6	2
142	что такое	3	2
143	так если	2	2
144	не имеет	6	2
145	и его	3	2
146	можно было	7	2
147	этот вопрос	3	2
148	в другом	2	2
149	не знает	3	2
150	что мы	11	2
151	ясно что	4	2
152	сказать что	13	2
153	как это	3	2
154	время как	5	2
