N	2gram	Tiupa_Lite_3	Marksizm
1	точки зрения	7	34
2	может быть	12	26
3	и не	22	26
4	не может	8	24
5	с точки	3	20
6	и в	16	19
7	и его	6	19
8	в этом	14	16
9	как бы	8	15
10	прежде всего	3	13
11	как мы	2	13
12	как и	5	12
13	так и	9	11
14	и для	4	11
15	связи с	2	11
16	в самом	3	10
17	в нем	2	10
18	в слове	3	10
19	ни было	2	10
20	и т.п	6	10
21	самом деле	3	10
22	для него	2	9
23	лишь в	5	9
24	только в	7	9
25	при этом	15	8
26	бы то	2	8
27	но и	14	8
28	то ни	2	8
29	не только	14	8
30	все же	2	8
31	то что	12	8
32	так же	2	7
33	но в	3	7
34	в ее	5	7
35	во всех	2	7
36	бытия в	2	7
37	то же	9	7
38	а не	12	7
39	в том	12	6
40	другой стороны	2	6
41	отнюдь не	3	6
42	того же	2	6
43	в его	6	6
44	с другой	6	5
45	в конце	2	5
46	именно в	5	5
47	не в	10	5
48	до конца	4	5
49	в начале	4	5
50	и потому	2	5
51	к этому	2	5
52	в отличие	5	5
53	входит в	4	5
54	того чтобы	2	5
55	отличие от	5	5
56	что в	2	4
57	не менее	2	4
58	вопрос о	2	4
59	а в	5	4
60	и на	2	4
61	жизни в	4	4
62	по себе	2	4
63	еще не	6	4
64	было бы	2	4
65	как в	5	4
66	для того	2	4
67	в данном	4	4
68	далеко не	2	4
69	место в	4	3
70	этом отношении	5	3
71	одного из	2	3
72	или иной	2	3
73	можно сказать	2	3
74	и как	3	3
75	же время	7	3
76	из них	4	3
77	по отношению	4	3
78	того что	9	3
79	между тем	3	3
80	xix века	2	3
81	в то	9	3
82	же самое	2	3
83	его в	2	3
84	сознания и	2	3
85	и к	3	3
86	том что	8	3
87	более того	3	3
88	и при	2	3
89	совершенно не	3	3
90	в первом	2	3
91	в своей	7	3
92	какого бы	2	3
93	не становится	3	3
94	и ее	2	3
95	в области	3	3
96	том числе	3	2
97	в частности	11	2
98	никогда не	4	2
99	числе и	2	2
100	в свою	2	2
101	одним из	4	2
102	в единстве	3	2
103	с ее	3	2
104	жизни и	3	2
105	в первой	2	2
106	по аналогии	2	2
107	и только	2	2
108	во втором	2	2
109	действительности в	2	2
110	и даже	2	2
111	должно быть	4	2
112	в своих	2	2
113	в работе	2	2
114	с этой	2	2
115	о том	6	2
116	и с	2	2
117	в основе	5	2
118	ни к	3	2
119	если бы	2	2
120	не как	2	2
121	что он	5	2
122	вот в	2	2
123	в себе	6	2
124	в романе	3	2
125	у нас	2	2
126	то в	3	2
127	в качестве	5	2
128	к тому	6	2
129	однако не	3	2
130	что и	2	2
131	отношению к	4	2
132	бы и	3	2
133	как раз	2	2
134	человека в	2	2
135	что не	2	2
136	мира и	2	2
137	на смену	3	2
138	той же	3	2
139	или иначе	2	2
140	тем что	2	2
141	которой она	2	2
142	в другом	6	2
143	не знает	2	2
144	там где	3	2
