N	3gram	Losev_Prob_2	Formalny
1	в связи с	5	10
2	не может быть	3	10
3	и в этом	3	5
4	в самом деле	2	5
5	в то же	4	5
6	и т д	6	5
7	во всяком случае	10	5
8	того или иного	5	4
9	связи с этим	2	3
10	с другой стороны	5	3
11	как раз и	4	3
12	может быть и	2	3
13	на самом деле	2	3
14	но и в	3	3
15	для того чтобы	2	3
16	было говорить о	3	2
17	сами по себе	2	2
18	на первый план	3	2
19	даже и не	2	2
20	с самого начала	2	2
21	в конце концов	7	2
22	и прежде всего	2	2
23	в этом смысле	5	2
24	в том случае	2	2
25	в том что	4	2
