N	2gram	Vygotskiy__4	Problema
1	то что	15	42
2	и в	20	32
3	и не	8	31
4	не есть	2	29
5	не просто	2	23
6	не менее	3	19
7	в этом	24	19
8	не только	15	17
9	потому что	12	16
10	а не	7	15
11	в виде	3	15
12	в себе	10	15
13	как бы	7	14
14	может быть	12	14
15	указывает на	2	14
16	но в	3	14
17	и тем	8	13
18	в нем	2	13
19	сказать что	6	13
20	что мы	7	13
21	что в	19	12
22	том что	35	12
23	так и	5	12
24	также и	2	11
25	о том	5	11
26	так как	10	11
27	если мы	10	11
28	ничего общего	3	11
29	то же	16	10
30	прежде всего	2	10
31	в этой	3	10
32	отнюдь не	3	10
33	но не	3	9
34	в том	42	9
35	но и	9	9
36	и что	8	9
37	так же	11	9
38	же самое	7	9
39	по своему	4	9
40	еще не	2	9
41	того чтобы	7	9
42	в таком	2	9
43	в данном	2	9
44	и это	2	9
45	на то	5	8
46	данном случае	2	8
47	не может	6	8
48	все эти	5	8
49	и на	6	8
50	когда мы	2	8
51	было бы	8	8
52	в своей	7	8
53	для того	5	8
54	содержит в	2	7
55	никогда не	5	7
56	ни в	3	7
57	и является	3	7
58	такого рода	6	7
59	того что	10	7
60	что он	6	7
61	как мы	13	7
62	во всяком	4	7
63	тем что	7	7
64	только в	10	7
65	здесь не	2	7
66	так что	3	6
67	и как	9	6
68	при этом	12	6
69	в самом	6	6
70	предметов и	2	6
71	в виду	3	6
72	таким образом	25	6
73	это не	5	6
74	и здесь	2	6
75	но как	2	6
76	и то	10	6
77	его в	6	6
78	как это	9	6
79	этом смысле	8	6
80	совершенно не	3	6
81	в его	11	6
82	самом деле	7	6
83	что такое	5	6
84	перед нами	5	5
85	в своем	4	5
86	а только	3	5
87	для нас	4	5
88	общего между	2	5
89	не имеют	3	5
90	мы уже	5	5
91	не являются	3	5
92	мы должны	11	5
93	в сознании	4	5
94	и которые	2	5
95	с тем	6	5
96	не является	5	5
97	связи с	3	5
98	далеко не	2	5
99	именно в	3	4
100	тому что	4	4
101	точно так	3	4
102	не в	4	4
103	мы и	2	4
104	один из	3	4
105	на том	4	4
106	мы говорили	3	4
107	в их	12	4
108	и только	4	4
109	мышления и	14	4
110	а в	2	4
111	предметы в	3	4
112	их в	2	4
113	в истории	10	4
114	как он	4	4
115	если бы	5	4
116	никак не	2	4
117	а также	2	4
118	как в	5	4
119	только на	2	4
120	входит в	2	4
121	если не	2	4
122	тем самым	7	4
123	и для	4	4
124	мы можем	5	4
125	в связи	3	4
126	уже в	6	3
127	что это	2	3
128	в этих	3	3
129	в отношении	10	3
130	с другой	12	3
131	что все	3	3
132	именно то	2	3
133	что они	14	3
134	случае не	2	3
135	в действительности	5	3
136	но для	2	3
137	всяком случае	3	3
138	в настоящее	2	3
139	другими словами	2	3
140	из них	4	3
141	другой стороны	9	3
142	и его	5	3
143	что оно	4	3
144	действительности в	2	3
145	с этим	5	3
146	точки зрения	24	3
147	что здесь	2	3
148	настоящее время	2	3
149	нисколько не	2	3
150	уже и	2	3
151	только не	5	3
152	и во	3	3
153	ясно что	2	3
154	как и	9	3
155	сейчас же	2	3
156	того же	9	3
157	мы в	2	3
158	к тому	6	3
159	этот предмет	4	3
160	того как	2	3
161	на этот	3	3
162	что понятие	4	3
163	во всей	4	3
164	к нему	2	3
165	с точки	11	3
166	можно было	6	3
167	различие в	3	3
168	в каком	2	3
169	как оно	2	3
170	в чем	3	3
171	которые не	2	3
172	значит что	2	3
173	не могут	3	2
174	все время	4	2
175	мы будем	2	2
176	же как	6	2
177	что если	2	2
178	вообще не	2	2
179	одного и	6	2
180	мы называем	2	2
181	как они	4	2
182	этом случае	3	2
183	это мы	2	2
184	и понятие	3	2
185	является не	4	2
186	но что	3	2
187	для него	2	2
188	для построения	2	2
189	на его	3	2
190	указывают на	4	2
191	в него	2	2
192	от других	2	2
193	этой области	2	2
194	понятие и	2	2
195	не имеет	2	2
196	должно быть	3	2
197	мы наблюдаем	2	2
198	во многих	2	2
199	указывать на	2	2
200	в результате	8	2
201	и с	4	2
202	из этих	2	2
203	мы имеем	2	2
204	между тем	9	2
205	говорили выше	3	2
206	нашего исследования	4	2
207	могут быть	7	2
208	а потом	2	2
209	на первый	4	2
210	и того	5	2
211	по существу	3	2
212	мы видим	10	2
213	и при	4	2
214	в качестве	21	2
215	со всеми	3	2
216	на один	4	2
217	в сущности	4	2
218	все другие	2	2
219	вместе с	8	2
220	только что	4	2
221	этого понятия	3	2
222	тому как	2	2
223	что этот	2	2
224	нас в	3	2
225	на одном	2	2
226	мы возьмем	2	2
227	понятия и	9	2
228	смысле и	2	2
229	является в	3	2
230	подобно тому	2	2
231	вопроса о	2	2
232	которые в	4	2
233	едва ли	2	2
234	в которой	3	2
235	в области	4	2
236	или понятие	2	2
