N	2gram	Vinokur_St_3	Istorich
1	и т	8	27
2	и в	25	26
3	т д	2	24
4	т е	8	18
5	то что	12	16
6	не только	12	15
7	что в	19	14
8	может быть	19	14
9	но и	9	12
10	связь с	4	12
11	и пр	13	11
12	что он	19	10
13	показывает что	3	10
14	так и	5	10
15	таким образом	10	10
16	и его	3	10
17	при помощи	2	10
18	все же	4	9
19	и не	10	9
20	так как	3	9
21	то же	5	8
22	а в	6	8
23	в этих	11	7
24	во время	3	7
25	об этом	5	7
26	как и	4	7
27	в качестве	4	7
28	нас к	2	7
29	он не	5	7
30	как в	6	7
31	в этом	24	7
32	что здесь	4	7
33	мы имеем	5	7
34	мы видим	4	6
35	что они	2	6
36	еще не	2	6
37	вместе с	2	6
38	не может	7	6
39	а не	5	6
40	к нему	4	6
41	потому что	5	6
42	могут быть	2	6
43	у него	9	5
44	это не	7	5
45	к этому	3	5
46	но все	2	5
47	но не	2	5
48	и только	2	5
49	ничего не	4	5
50	в его	12	5
51	и у	2	5
52	до сих	2	5
53	и др	4	5
54	сих пор	2	5
55	в некоторых	3	5
56	как мы	2	5
57	и что	3	5
58	из которых	4	5
59	уже не	3	5
60	и по	2	5
61	не в	6	5
62	и с	4	5
63	тем что	19	5
64	и здесь	3	5
65	в другом	3	5
66	но в	5	5
67	раньше чем	3	5
68	с другой	5	4
69	вовсе не	2	4
70	а по	2	4
71	такое же	2	4
72	в своей	4	4
73	другой стороны	5	4
74	не просто	2	4
75	что этот	3	4
76	но он	3	4
77	в которых	2	4
78	о том	8	4
79	интересно что	6	4
80	только что	2	3
81	на вопрос	3	3
82	и более	3	3
83	что у	2	3
84	в одной	2	3
85	из этих	6	3
86	не сразу	2	3
87	на котором	2	3
88	в том	20	3
89	том что	15	3
90	и других	2	3
91	его к	2	3
92	но это	4	3
93	к своей	2	3
94	и если	3	3
95	например в	4	3
96	на его	4	3
97	относится к	4	3
98	как бы	6	3
99	все эти	3	3
100	а также	4	3
101	на то	5	3
102	только тогда	2	3
103	не на	2	3
104	не мог	2	3
105	не имеет	2	3
106	или в	2	3
107	связан с	3	3
108	попадает в	3	3
109	связи с	3	3
110	что мы	3	3
111	только в	6	3
112	в русской	6	3
113	что эта	2	3
114	должен был	2	3
115	к этой	2	3
116	связана с	4	2
117	уже в	3	2
118	с тем	4	2
119	не менее	2	2
120	никогда не	2	2
121	он может	2	2
122	и во	2	2
123	с этим	7	2
124	а как	4	2
125	и тем	4	2
126	тем не	2	2
127	его как	3	2
128	ни в	5	2
129	так что	11	2
130	что я	3	2
131	есть в	2	2
132	одна из	2	2
133	от них	2	2
134	на этом	3	2
135	и тот	2	2
136	говорит что	5	2
137	было бы	7	2
138	но есть	2	2
139	если бы	4	2
140	такого рода	5	2
141	между прочим	3	2
142	у нас	4	2
143	он говорит	4	2
144	вступают в	2	2
145	в целом	4	2
146	отношение к	4	2
147	дело не	2	2
148	от того	2	2
149	в форме	2	2
150	все это	8	2
151	что это	16	2
152	в языке	8	2
153	в связи	3	2
154	и за	2	2
155	лишь в	4	2
156	того что	5	2
157	к этим	2	2
158	и на	6	2
159	с этой	3	2
160	а у	2	2
161	сказать что	4	2
162	в виде	3	2
163	имеем в	2	2
164	известно что	2	2
165	можно найти	2	2
166	в этой	14	2
167	он делает	2	2
168	на это	2	2
169	этого слова	2	2
170	в особенности	4	2
171	в области	6	2
