N	2gram	Tiupa_Lite_2	OGranits
1	и в	19	13
2	и его	3	12
3	прежде всего	4	9
4	не может	9	8
5	и не	11	8
6	может быть	17	8
7	и т.п	10	7
8	точки зрения	4	7
9	в его	4	7
10	не только	8	6
11	то что	7	6
12	как бы	2	6
13	все же	2	5
14	с точки	3	5
15	хотя бы	2	5
16	в поэзии	3	5
17	и т.д	7	5
18	и наконец	2	5
19	то же	12	4
20	не является	2	4
21	в каждом	2	4
22	на фоне	5	4
23	мы не	4	4
24	было бы	2	4
25	но в	2	4
26	отношению к	3	3
27	что в	4	3
28	никогда не	3	3
29	но и	10	3
30	так и	7	3
31	в их	3	3
32	по отношению	4	3
33	в одном	2	3
34	в ее	2	3
35	как и	10	3
36	не в	4	3
37	и то	3	3
38	не столько	3	3
39	одно и	2	3
40	в себе	6	3
41	в искусстве	4	3
42	и для	3	3
43	так как	3	3
44	еще в	4	2
45	не менее	6	2
46	и др	3	2
47	для себя	2	2
48	уже в	2	2
49	с этой	2	2
50	в нем	3	2
51	в целом	2	2
52	своего рода	13	2
53	данном случае	3	2
54	а не	20	2
55	другой стороны	4	2
56	с другой	8	2
57	в них	2	2
58	а в	3	2
59	с одной	7	2
60	вовсе не	2	2
61	и к	2	2
62	в том	10	2
63	наконец в	2	2
64	том что	7	2
65	в своих	2	2
66	в данном	3	2
67	в этом	9	2
68	тем что	4	2
69	могут быть	2	2
70	при этом	6	2
71	всей своей	3	2
72	соответствии с	2	2
73	для него	4	2
74	в другом	3	2
75	в руках	2	2
76	тот же	2	2
77	одной стороны	6	2
78	слова и	7	2
79	в области	4	2
80	в ней	4	2
81	а также	2	2
