N	2gram	Vygotskiy__4	formyVre
1	и в	20	50
2	в этом	24	25
3	в нем	2	24
4	и его	5	16
5	прежде всего	2	15
6	и не	8	14
7	как мы	13	14
8	в его	11	13
9	по существу	3	12
10	так и	5	12
11	может быть	12	11
12	таким образом	25	11
13	мы уже	5	11
14	то же	16	11
15	и как	9	10
16	но в	3	10
17	в том	42	9
18	все эти	5	9
19	не только	15	9
20	роль в	4	9
21	в самом	6	8
22	но и	9	8
23	и на	6	8
24	как и	9	8
25	того же	9	8
26	ни в	3	8
27	и во	3	7
28	в условиях	3	7
29	все же	5	6
30	в частности	5	6
31	это не	5	6
32	в их	12	6
33	не может	6	6
34	так же	11	6
35	в результате	8	6
36	так как	10	6
37	у него	2	6
38	с этим	5	6
39	и того	5	6
40	связи с	3	6
41	то что	15	6
42	как в	5	6
43	между двумя	2	6
44	что в	19	5
45	и другие	9	5
46	одного и	6	5
47	не в	4	5
48	этот процесс	6	5
49	в связи	3	5
50	в основе	17	5
51	точки зрения	24	5
52	если бы	5	5
53	отнюдь не	3	5
54	но не	3	5
55	еще не	2	5
56	наряду с	3	5
57	и речи	2	5
58	того чтобы	7	5
59	для того	5	5
60	и у	2	5
61	могут быть	7	5
62	том числе	2	4
63	понятно что	2	4
64	в своем	4	4
65	мы и	2	4
66	между этими	2	4
67	не имеет	2	4
68	для других	2	4
69	потому что	12	4
70	и с	4	4
71	в ней	2	4
72	между собой	5	4
73	раз в	2	4
74	в процессе	27	4
75	и т.п	2	4
76	в той	2	4
77	том что	35	4
78	и для	4	4
79	и то	10	4
80	только в	10	4
81	и это	2	4
82	здесь не	2	4
83	в основу	2	3
84	не могут	3	3
85	в этих	3	3
86	в отношении	10	3
87	формы и	3	3
88	к тому	6	3
89	с тем	6	3
90	при этом	12	3
91	с нашей	4	3
92	не имеют	3	3
93	себе и	3	3
94	нашей точки	2	3
95	в виду	3	3
96	один из	3	3
97	со всеми	3	3
98	этом отношении	7	3
99	с одной	9	3
100	именно в	3	3
101	и других	3	3
102	они не	2	3
103	друг друга	4	3
104	а в	2	3
105	вообще не	2	3
106	и те	4	3
107	их в	2	3
108	сказать что	6	3
109	в начале	2	3
110	его в	6	3
111	но они	2	3
112	не знает	2	3
113	к этому	4	3
114	уже говорили	2	3
115	в качестве	21	3
116	одно и	6	3
117	одной из	3	3
118	в сущности	4	3
119	мы говорили	3	3
120	только к	3	3
121	что и	9	3
122	вместе с	8	3
123	только на	2	3
124	во всей	4	3
125	а не	7	3
126	между ними	4	3
127	мы видим	10	3
128	в таком	2	3
129	нас в	3	3
130	во всяком	4	3
131	в себе	10	3
132	входит в	2	3
133	этими двумя	2	3
134	место в	2	2
135	уже в	6	2
136	мы будем	2	2
137	же как	6	2
138	никогда не	5	2
139	в нашем	4	2
140	с другой	12	2
141	поэтому оно	2	2
142	что все	3	2
143	а только	3	2
144	для нас	4	2
145	тому же	6	2
146	числе и	2	2
147	в свою	2	2
148	для него	2	2
149	одной стороны	9	2
150	мы встречаем	2	2
151	но для	2	2
152	в целом	11	2
153	те же	6	2
154	с помощью	31	2
155	на основе	10	2
156	того что	10	2
157	друг на	5	2
158	также и	2	2
159	и является	3	2
160	на друга	5	2
161	во всем	3	2
162	в истории	10	2
163	что мы	7	2
164	мы должны	11	2
165	как он	4	2
166	влияния на	2	2
167	человека мы	2	2
168	не является	5	2
169	сравнению с	3	2
170	тогда когда	8	2
171	ясно что	2	2
172	стороны и	2	2
173	и к	5	2
174	в другую	3	2
175	в чем	3	2
176	и тех	2	2
177	чем в	3	2
178	было бы	8	2
179	в данной	2	2
180	не являются	3	2
181	на один	4	2
182	том же	2	2
183	а также	2	2
184	по сравнению	4	2
185	в своей	7	2
186	как бы	7	2
187	все другие	2	2
188	совершенно не	3	2
189	в отличие	2	2
190	связь между	2	2
191	если мы	10	2
192	с точки	11	2
193	в которой	3	2
194	той же	6	2
195	в данном	2	2
196	тем что	7	2
197	в каком	2	2
198	ту же	2	2
199	далеко не	2	2
200	как оно	2	2
201	слова и	5	2
202	отличие от	2	2
