N	2gram	Trubetskoy_1	Sotsiolo
1	все это	6	7
2	в том	17	5
3	в этом	17	5
4	не в	4	3
5	для нас	2	3
6	и только	5	3
7	в его	4	3
8	и в	14	3
9	не только	9	3
10	по отношению	2	2
11	еще не	3	2
12	было бы	5	2
13	как будто	2	2
14	она может	3	2
15	только в	5	2
16	в конце	3	2
17	по существу	5	2
18	таким образом	11	2
19	том что	9	2
20	то же	11	2
21	то что	13	2
22	главным образом	3	2
23	может быть	9	2
24	в результате	2	2
25	в частности	2	2
26	и что	2	2
27	но и	10	2
28	как бы	4	2
29	должна быть	2	2
30	конце концов	3	2
31	что в	4	2
