N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	34	41
2	мы уже	6	18
3	во всех	2	17
4	таким образом	5	17
5	в нем	19	16
6	и с	15	16
7	и его	16	13
8	но и	12	13
9	как мы	7	12
10	в этом	16	12
11	все это	16	11
12	уже говорили	3	11
13	все эти	4	11
14	прежде всего	15	10
15	в самом	8	10
16	не только	10	10
17	так как	4	10
18	то что	11	10
19	во время	2	9
20	и на	6	9
21	и все	19	9
22	о том	2	9
23	никогда не	8	8
24	в сущности	11	8
25	здесь и	2	8
26	но в	16	8
27	у него	4	7
28	в них	2	7
29	вовсе не	11	7
30	том что	3	7
31	как бы	27	7
32	как и	18	7
33	что в	7	7
34	в его	22	7
35	что он	23	6
36	например в	2	6
37	один из	2	6
38	вместе с	4	6
39	сказать что	2	6
40	в то	12	6
41	то же	14	5
42	с его	6	5
43	в одном	5	5
44	в ее	3	5
45	так же	8	5
46	же время	12	5
47	и он	2	5
48	из них	5	5
49	так и	6	5
50	в своем	2	5
51	рядом с	4	5
52	большинстве случаев	3	5
53	в той	2	5
54	и что	5	5
55	той же	2	5
56	еще в	3	5
57	тем что	4	5
58	но он	3	5
59	в себе	6	5
60	во всем	3	5
61	там где	7	5
62	что это	5	5
63	уже в	3	4
64	все время	5	4
65	с другой	4	4
66	та же	2	4
67	и от	5	4
68	и как	3	4
69	не в	9	4
70	и вообще	2	4
71	в большинстве	2	4
72	тот же	2	4
73	в ней	3	4
74	в котором	3	4
75	даже в	5	4
76	все же	7	4
77	не может	19	4
78	как в	4	4
79	самом деле	13	4
80	и наконец	5	4
81	и даже	7	4
82	а в	5	4
83	более того	2	4
84	в другом	8	4
85	того же	2	4
86	с ним	8	4
87	мы увидим	2	3
88	он сам	5	3
89	с этой	2	3
90	в одной	3	3
91	с этим	2	3
92	своего героя	2	3
93	но это	4	3
94	с миром	3	3
95	первой книги	2	3
96	было бы	2	3
97	и сам	5	3
98	в начале	4	3
99	конечно не	2	3
100	не мог	5	3
101	в него	3	3
102	жизни и	3	3
103	и для	8	3
104	при этом	4	3
105	и не	29	3
106	те же	2	3
107	того что	5	3
108	что не	7	3
109	к нему	14	3
110	есть только	3	3
111	с другими	4	3
112	в плане	6	3
113	выходит за	2	3
114	только в	6	3
115	только с	3	3
116	в чем	5	3
117	потому что	12	3
118	говорили что	3	3
119	отрывок из	2	2
120	всех этих	2	2
121	для его	2	2
122	это уже	2	2
123	понятно что	2	2
124	для этого	3	2
125	и во	3	2
126	в конце	5	2
127	переходит в	2	2
128	того времени	2	2
129	что все	4	2
130	себе самом	5	2
131	конечно в	2	2
132	человека с	3	2
133	в том	3	2
134	было и	2	2
135	как его	2	2
136	раз в	2	2
137	это и	2	2
138	так что	5	2
139	ведь и	3	2
140	что они	6	2
141	от него	6	2
142	на этом	4	2
143	но не	4	2
144	до конца	3	2
145	со всеми	2	2
146	кажется что	2	2
147	может быть	19	2
148	за пределы	2	2
149	в своей	3	2
150	вполне понятно	2	2
151	хотя и	3	2
152	он не	15	2
153	и потому	2	2
154	если б	2	2
155	в эти	2	2
156	был бы	2	2
157	мы видели	3	2
158	в форме	2	2
159	другой стороны	3	2
160	и прежде	4	2
161	как раз	4	2
162	что даже	2	2
163	которых мы	2	2
164	еще более	2	2
165	да еще	2	2
166	но с	2	2
167	лишь в	5	2
168	а не	9	2
169	и у	5	2
170	с точки	4	2
171	тенденция к	2	2
172	к себе	17	2
173	каждый из	2	2
174	самим собой	6	2
175	характер и	3	2
176	и то	3	2
177	их в	3	2
178	между тем	3	2
179	говорит он	3	2
180	он в	4	2
181	точки зрения	8	2
182	на его	4	2
183	говорить о	3	2
184	всех тех	2	2
185	как он	3	2
186	так сказать	2	2
187	бы в	3	2
188	как она	2	2
189	это было	3	2
