N	2gram	Losev_Prob_2	Formalny
1	и в	35	38
2	в этом	17	27
3	может быть	18	23
4	таким образом	4	20
5	и не	37	20
6	в самом	5	16
7	прежде всего	11	15
8	не в	2	15
9	и т	6	14
10	не может	13	14
11	но и	16	13
12	связи с	5	13
13	языка и	5	12
14	с тем	3	11
15	языка как	2	11
16	в том	12	11
17	вовсе не	37	11
18	в его	7	10
19	в связи	5	10
20	с другими	5	10
21	и с	10	9
22	как и	5	9
23	при этом	3	9
24	не только	24	9
25	языка в	3	9
26	отнюдь не	5	8
27	язык как	3	8
28	что и	2	8
29	все же	8	8
30	так и	7	8
31	самом деле	4	8
32	тем что	4	8
33	точки зрения	2	8
34	что в	11	7
35	не могут	4	7
36	по себе	8	7
37	слова и	4	7
38	в корне	2	7
39	язык и	2	7
40	как мы	5	7
41	лишь в	3	7
42	уже не	8	7
43	не было	3	6
44	в результате	4	6
45	то что	38	6
46	в истории	3	6
47	и ее	2	6
48	в ней	2	6
49	в этой	9	6
50	было бы	8	6
51	вместе с	2	6
52	в их	3	6
53	то же	5	6
54	все эти	7	6
55	а не	10	6
56	как такового	2	6
57	как раз	8	6
58	в языке	15	6
59	он не	2	6
60	только в	14	6
61	а в	4	6
62	хотя бы	12	6
63	в общем	4	5
64	ни о	4	5
65	если бы	4	5
66	или иного	5	5
67	звука и	2	5
68	что он	4	5
69	это и	3	5
70	в слове	3	5
71	по преимуществу	2	5
72	во всех	2	5
73	если мы	9	5
74	что же	9	5
75	и речи	3	5
76	с этим	5	5
77	и только	4	5
78	т д	6	5
79	и для	6	5
80	еще более	2	5
81	сводится к	2	5
82	в основе	3	5
83	говорить о	10	5
84	в то	6	5
85	бы в	3	5
86	во всяком	13	5
87	всяком случае	10	5
88	языка а	2	5
89	независимо от	2	4
90	как о	3	4
91	оно не	3	4
92	раз и	5	4
93	к тому	3	4
94	что они	3	4
95	его от	2	4
96	совершенно не	2	4
97	того или	7	4
98	как они	2	4
99	не о	6	4
100	как бы	4	4
101	и к	3	4
102	каждый элемент	2	4
103	другой стороны	5	4
104	входит в	2	4
105	мы говорим	4	4
106	что оно	2	4
107	что не	5	4
108	и наконец	3	4
109	и даже	11	4
110	о языке	3	4
111	даже и	18	4
112	именно как	4	4
113	здесь не	2	4
114	ничего не	10	4
115	так как	7	4
116	но в	6	4
117	всех этих	4	3
118	для них	3	3
119	и др	2	3
120	с другой	6	3
121	из этих	3	3
122	как таковой	4	3
123	и здесь	4	3
124	и как	4	3
125	но все	2	3
126	зависимости от	2	3
127	без всякой	5	3
128	время и	2	3
129	но именно	4	3
130	в зависимости	2	3
131	к предмету	3	3
132	не является	7	3
133	то это	3	3
134	не есть	33	3
135	в целом	3	3
136	и их	3	3
137	быть и	2	3
138	значение и	8	3
139	только на	9	3
140	все это	4	3
141	и прежде	2	3
142	то и	4	3
143	только и	3	3
144	на самом	4	3
145	к нему	2	3
146	в значительной	3	3
147	того что	12	3
148	того чтобы	2	3
149	для того	3	3
150	между этими	2	3
151	роль в	2	3
152	мы не	7	3
153	или в	2	3
154	каждый из	2	3
155	и на	5	3
156	хотя и	3	3
157	но ведь	3	3
158	и все	5	3
159	его в	3	3
160	в области	6	3
161	не то	2	3
162	это было	2	3
163	значение слова	4	2
164	смысла и	2	2
165	для определения	2	2
166	уже в	3	2
167	самого начала	2	2
168	и более	5	2
169	правда в	2	2
170	по этому	3	2
171	имеет значение	2	2
172	в этих	4	2
173	в качестве	2	2
174	тому что	3	2
175	для этого	3	2
176	и многие	2	2
177	перед нами	2	2
178	говорим о	3	2
179	от его	2	2
180	или даже	3	2
181	в такой	2	2
182	в конце	7	2
183	с нею	2	2
184	представление о	5	2
185	не просто	11	2
186	первый план	3	2
187	в тех	2	2
188	же это	5	2
189	а только	6	2
190	является для	2	2
191	с самого	3	2
192	том что	19	2
193	том случае	2	2
194	но это	6	2
195	является не	2	2
196	но не	4	2
197	совсем не	7	2
198	на нем	2	2
199	но как	6	2
200	кроме того	5	2
201	она не	3	2
202	мы в	3	2
203	что на	4	2
204	на первый	4	2
205	едва ли	9	2
206	и о	4	2
207	совпадает с	2	2
208	же и	2	2
209	значения и	11	2
210	мы ни	2	2
211	конце концов	7	2
212	слова как	3	2
213	даже в	2	2
214	сами по	2	2
215	не так	2	2
216	один из	3	2
217	и тем	4	2
218	есть только	8	2
219	этом смысле	5	2
220	не будет	11	2
221	в понимании	2	2
222	ни в	6	2
223	было говорить	4	2
224	а именно	6	2
225	даже не	3	2
226	слово и	2	2
227	то ни	3	2
228	должны были	3	2
229	и всякое	2	2
230	в в	2	2
231	в той	2	2
232	этого термина	8	2
233	системы а	2	2
234	можно говорить	3	2
235	тем самым	7	2
236	не имеет	7	2
237	и по	3	2
238	должно быть	2	2
239	исследования в	2	2
240	что для	3	2
241	в таком	11	2
242	и то	10	2
243	их в	4	2
244	сказать что	24	2
245	ничем не	2	2
246	является в	2	2
247	и от	3	2
248	общем смысле	2	2
249	предмета в	2	2
250	если же	3	2
251	при помощи	8	2
252	и это	5	2
253	из этого	2	2
254	к сожалению	6	2
255	потому что	13	2
256	от всякого	2	2
257	в плане	2	2
258	слово в	2	2
259	если это	2	2
260	в виду	8	2
