N	2gram	Vinokur_St_3	DiskursI
1	состоит в	4	16
2	в качестве	4	16
3	и в	25	16
4	может быть	19	16
5	как и	4	16
6	в этом	24	16
7	и не	10	15
8	а не	5	14
9	то есть	2	12
10	но и	9	11
11	но в	5	11
12	том что	15	10
13	не только	12	10
14	своего рода	3	10
15	со стороны	3	10
16	такого рода	5	9
17	так и	5	9
18	не может	7	9
19	в том	20	8
20	а также	4	8
21	как в	6	8
22	в рамках	2	7
23	не менее	2	7
24	прежде всего	10	7
25	ни в	5	7
26	но не	2	7
27	при всей	2	7
28	с его	3	6
29	еще не	2	6
30	все же	4	6
31	в своей	4	6
32	то же	5	6
33	в своих	8	6
34	а с	2	5
35	что в	19	5
36	с другой	5	5
37	же время	3	5
38	для него	3	5
39	то что	12	5
40	и на	6	5
41	в то	7	5
42	одного из	2	4
43	к этому	3	4
44	разумеется не	2	4
45	одной стороны	3	4
46	как бы	6	4
47	этом отношении	4	4
48	с одной	2	4
49	в рассказе	3	4
50	потому что	5	4
51	можно назвать	4	4
52	одно из	2	4
53	точки зрения	7	4
54	в этой	14	4
55	о том	8	4
56	не является	3	4
57	я и	3	4
58	и может	2	3
59	могут быть	2	3
60	в этих	11	3
61	в них	5	3
62	это не	7	3
63	не столько	2	3
64	из этих	6	3
65	или иной	2	3
66	уже не	3	3
67	не в	6	3
68	можно сказать	4	3
69	например в	4	3
70	он не	5	3
71	в его	12	3
72	в русской	6	3
73	в котором	5	3
74	и ее	2	3
75	не было	4	3
76	все эти	3	3
77	и наконец	3	3
78	как на	6	3
79	и его	3	3
80	но это	4	3
81	в другом	3	3
82	только в	6	3
83	жизни но	2	3
84	в творчестве	3	3
85	место в	6	2
86	никогда не	2	2
87	у пушкина	22	2
88	в целом	4	2
89	это в	4	2
90	этот человек	2	2
91	что он	19	2
92	такой же	2	2
93	есть в	2	2
94	времени и	2	2
95	того же	2	2
96	отношение к	4	2
97	в ней	4	2
98	отношения между	5	2
99	на почве	5	2
100	с ее	2	2
101	с точки	4	2
102	или из	3	2
103	вместе с	2	2
104	в языке	8	2
105	не на	2	2
106	все это	8	2
107	другой стороны	5	2
108	и для	4	2
109	а в	6	2
110	той же	2	2
111	в результате	2	2
112	и с	4	2
113	говорить о	3	2
114	и это	5	2
115	в области	6	2
116	мы имеем	5	2
117	между тем	6	2
118	произведения как	2	2
