N	2gram	Voloshinov_1	DiskursI
1	в себе	2	19
2	при этом	8	17
3	в качестве	2	16
4	и в	19	16
5	может быть	26	16
6	как и	12	16
7	в этом	16	16
8	и не	26	15
9	а не	7	14
10	в частности	2	12
11	и т.п	10	12
12	в отличие	5	12
13	отличие от	5	12
14	но и	8	11
15	но в	7	11
16	том что	3	10
17	не только	8	10
18	так и	11	9
19	не может	24	9
20	в том	6	8
21	как в	4	8
22	не менее	4	7
23	прежде всего	13	7
24	в нем	10	7
25	ни в	2	7
26	в данном	4	7
27	отнюдь не	6	6
28	еще не	4	6
29	все же	8	6
30	в своей	3	6
31	то же	7	6
32	в своих	2	6
33	ни к	2	5
34	что в	4	5
35	в своем	2	5
36	с другой	5	5
37	нового времени	2	5
38	же время	3	5
39	для него	9	5
40	то что	8	5
41	и на	4	5
42	в то	3	5
43	одного из	3	4
44	к этому	5	4
45	к его	2	4
46	в пределах	6	4
47	как бы	15	4
48	отношению к	2	4
49	по отношению	3	4
50	этом отношении	3	4
51	человека в	2	4
52	в основе	2	4
53	точки зрения	34	4
54	о том	2	4
55	мира и	2	4
56	не является	4	4
57	жизни в	4	3
58	могут быть	2	3
59	не столько	4	3
60	из виду	2	3
61	из этих	2	3
62	и все	5	3
63	или иной	3	3
64	и того	6	3
65	и как	3	3
66	не в	5	3
67	здесь в	3	3
68	в контексте	8	3
69	можно сказать	3	3
70	он не	3	3
71	в его	6	3
72	в русской	2	3
73	в котором	3	3
74	из них	3	3
75	жизни и	2	3
76	и ее	3	3
77	для данного	2	3
78	не было	3	3
79	все эти	7	3
80	внутренней речи	9	3
81	и его	19	3
82	одного и	5	3
83	в другом	2	3
84	не знает	2	3
85	только в	9	3
86	жизни но	2	3
87	его в	3	3
88	речевых жанров	2	3
89	место в	3	2
90	же как	2	2
91	никогда не	2	2
92	и всякое	2	2
93	в большинстве	3	2
94	момент в	3	2
95	этом случае	3	2
96	на первый	2	2
97	что он	2	2
98	является не	6	2
99	того же	6	2
100	должна быть	2	2
101	из важнейших	2	2
102	общения и	5	2
103	в ней	4	2
104	далеко не	4	2
105	на почве	6	2
106	что и	2	2
107	с ее	2	2
108	с точки	20	2
109	что же	4	2
110	и прежде	2	2
111	в языке	4	2
112	входит в	5	2
113	значение не	2	2
114	именно в	5	2
115	по преимуществу	5	2
116	к своему	2	2
117	сводится к	3	2
118	все это	3	2
119	ситуации и	2	2
120	другой стороны	6	2
121	речи в	3	2
122	и для	11	2
123	должно быть	2	2
124	а в	4	2
125	той же	2	2
126	совпадает с	2	2
127	в результате	9	2
128	и с	2	2
129	и это	3	2
130	в области	3	2
131	между тем	3	2
132	но при	2	2
