N	2gram	Berdyaev_O_1	NovoeSre
1	а не	11	17
2	не может	4	16
3	и в	19	16
4	во имя	3	15
5	совсем не	2	12
6	и не	13	11
7	и есть	3	10
8	что в	4	9
9	он не	7	8
10	в том	5	8
11	как и	6	7
12	в этом	12	7
13	может быть	11	7
14	с его	4	6
15	никогда не	9	6
16	не в	11	6
17	лишь в	7	6
18	в нем	10	5
19	все это	6	5
20	и к	2	5
21	не только	11	5
22	то что	5	4
23	это не	3	4
24	и все	10	4
25	не было	9	4
26	быть может	3	4
27	не имеет	2	4
28	и для	2	4
29	должно быть	2	4
30	есть лишь	4	4
31	потому что	9	4
32	прежде всего	9	4
33	о том	3	4
34	и потому	2	4
35	но и	13	3
36	не есть	2	3
37	в своей	2	3
38	в истории	2	3
39	жизни в	2	3
40	вопрос о	10	3
41	человека и	10	3
42	в ее	2	3
43	с тем	2	3
44	еще не	3	3
45	в россии	5	3
46	сказать что	2	3
47	это было	3	3
48	что все	2	2
49	нем нет	3	2
50	у него	22	2
51	так и	2	2
52	мысли и	3	2
53	и от	3	2
54	а в	5	2
55	жизни все	3	2
56	все эти	4	2
57	свободы и	2	2
58	того чтобы	4	2
59	хотя бы	3	2
60	том что	2	2
61	и с	2	2
62	могут быть	3	2
63	и на	2	2
64	в себе	3	2
65	не могли	2	2
66	хотя и	2	2
67	но в	2	2
