N	2gram	Tiupa_Anal_2	KulturaY
1	и в	16	23
2	т е	2	22
3	не только	16	20
4	в том	12	19
5	в этом	18	18
6	и не	12	16
7	было бы	3	15
8	может быть	6	15
9	точки зрения	4	14
10	если бы	3	12
11	в самом	6	12
12	том что	12	11
13	но в	6	11
14	что в	2	10
15	по себе	2	10
16	а не	10	10
17	вовсе не	2	9
18	в сущности	4	9
19	то что	7	9
20	можно было	3	9
21	не может	4	9
22	с другой	6	8
23	прежде всего	3	8
24	не в	4	8
25	в качестве	11	8
26	уже не	4	8
27	с точки	2	8
28	языка и	2	8
29	не менее	4	7
30	в нашем	3	7
31	но и	12	7
32	другой стороны	2	7
33	по крайней	3	6
34	крайней мере	3	6
35	в этой	9	6
36	но не	4	6
37	в речи	3	6
38	тем не	3	6
39	речи в	2	6
40	то же	4	6
41	между тем	2	6
42	и на	6	6
43	что все	2	5
44	этом смысле	2	5
45	по существу	2	5
46	еще не	2	5
47	несмотря на	3	5
48	в его	2	5
49	этого слова	3	5
50	один из	2	5
51	и тем	4	5
52	вместе с	2	5
53	приводит к	3	5
54	все это	4	5
55	таким образом	2	5
56	лишь в	9	5
57	как это	6	5
58	и то	3	5
59	не следует	2	5
60	речи и	2	5
61	только в	4	5
62	мы имеем	3	5
63	была бы	2	4
64	отнюдь не	8	4
65	к этому	2	4
66	на то	2	4
67	можно сказать	4	4
68	к тому	7	4
69	что на	3	4
70	в пределах	9	4
71	своего рода	12	4
72	на себе	3	4
73	или в	3	4
74	хотя и	4	4
75	как бы	10	4
76	на этой	2	4
77	со стороны	3	4
78	так же	2	4
79	не имеет	2	4
80	в данном	8	4
81	в результате	3	4
82	сказать что	2	4
83	могут быть	10	4
84	говорить о	6	4
85	в то	2	4
86	в конце	4	4
87	ничего не	9	4
88	так и	15	4
89	на этом	4	3
90	казалось бы	3	3
91	у него	4	3
92	на фоне	3	3
93	же время	2	3
94	а также	7	3
95	в соответствии	2	3
96	того же	4	3
97	никак не	2	3
98	он не	2	3
99	что и	3	3
100	всего в	2	3
101	что она	2	3
102	как в	4	3
103	как раз	4	3
104	этом отношении	3	3
105	не знает	3	3
106	именно в	3	3
107	те же	2	3
108	как мы	3	3
109	сводится к	3	3
110	того что	2	3
111	а в	3	3
112	и его	4	3
113	тем что	3	3
114	в таких	2	3
115	есть в	3	3
116	всего лишь	8	3
117	себе не	2	2
118	в частности	16	2
119	никогда не	3	2
120	состоит в	8	2
121	и все	3	2
122	и до	2	2
123	одного из	3	2
124	в одну	2	2
125	или иного	3	2
126	конечном счете	2	2
127	этом случае	4	2
128	ли не	2	2
129	с одной	5	2
130	с той	2	2
131	как будто	3	2
132	она не	2	2
133	при этом	10	2
134	по поводу	3	2
135	и если	3	2
136	что касается	3	2
137	по преимуществу	4	2
138	того или	3	2
139	в конечном	3	2
140	и даже	9	2
141	речь идет	2	2
142	превращается в	2	2
143	в своей	2	2
144	дело не	2	2
145	данном случае	5	2
146	в их	3	2
147	вообще и	2	2
148	в своем	4	2
149	в отличие	2	2
150	и для	2	2
151	как и	14	2
152	тем самым	4	2
153	на этот	2	2
154	той же	2	2
155	роль в	2	2
156	с ними	3	2
157	он и	2	2
158	соответствии с	2	2
159	это только	2	2
160	ответ на	3	2
161	в устах	2	2
162	отличие от	2	2
163	отношения к	2	2
