N	2gram	Losev_Dial_3	OGranits
1	и в	24	13
2	и его	5	12
3	прежде всего	8	9
4	не может	19	8
5	и не	27	8
6	может быть	13	8
7	точки зрения	25	7
8	и пр	6	7
9	в его	2	7
10	таким образом	13	6
11	не только	23	6
12	то что	14	6
13	только в	5	6
14	как бы	3	6
15	все же	3	5
16	с точки	14	5
17	хотя бы	4	5
18	то же	6	4
19	тех пор	2	4
20	все это	6	4
21	еще и	2	4
22	только и	2	4
23	мы не	5	4
24	было бы	5	4
25	но в	2	4
26	и уже	2	3
27	что в	7	3
28	никогда не	7	3
29	но и	9	3
30	так и	5	3
31	что же	11	3
32	в их	2	3
33	и все	6	3
34	превращается в	6	3
35	самом деле	6	3
36	как и	7	3
37	не в	3	3
38	за пределы	3	3
39	и то	4	3
40	одно и	5	3
41	ни один	2	3
42	в себе	2	3
43	говорить о	4	3
44	с этим	3	3
45	и для	2	3
46	так как	6	3
47	но для	2	3
48	слово в	2	3
49	не менее	11	2
50	для себя	2	2
51	с этой	5	2
52	и тем	2	2
53	в нем	3	2
54	ее в	2	2
55	сознания и	4	2
56	а не	26	2
57	думать что	2	2
58	другой стороны	2	2
59	с другой	4	2
60	от своего	2	2
61	не на	6	2
62	в них	5	2
63	собственно говоря	4	2
64	а в	2	2
65	с одной	3	2
66	все эти	3	2
67	вовсе не	13	2
68	или иного	2	2
69	есть не	9	2
70	к тому	4	2
71	и к	5	2
72	если бы	6	2
73	в чем	4	2
74	не имеет	11	2
75	в том	5	2
76	что иное	6	2
77	так же	4	2
78	том что	8	2
79	в зависимости	2	2
80	объект и	2	2
81	в своих	2	2
82	в данном	2	2
83	зависимости от	3	2
84	в этом	8	2
85	учение о	8	2
86	тем что	3	2
87	и следовательно	2	2
88	могут быть	2	2
89	при этом	2	2
90	и ее	3	2
91	не что	6	2
92	для него	4	2
93	во всем	3	2
94	одной стороны	3	2
95	несмотря на	2	2
96	того или	3	2
97	мы уже	3	2
98	его на	2	2
99	нет ничего	9	2
100	в самом	7	2
101	бы в	2	2
102	в ней	2	2
103	иное как	6	2
104	и является	2	2
