N	2gram	Tiupa_Disk_1	RusskieA
1	и в	16	29
2	что в	4	22
3	том что	19	22
4	в том	23	22
5	как бы	5	18
6	состоит в	9	15
7	может быть	17	13
8	как и	16	11
9	в этом	15	11
10	не только	28	10
11	о том	8	9
12	а в	5	9
13	или на	3	8
14	но и	14	8
15	данном случае	2	7
16	как в	10	7
17	или в	2	7
18	еще не	14	6
19	таким образом	3	6
20	при этом	13	6
21	и на	5	6
22	в данном	5	6
23	мы имеем	2	6
24	потому что	4	5
25	это не	3	5
26	к этому	2	5
27	то что	5	5
28	и что	2	5
29	но не	11	5
30	не может	9	5
31	будто бы	2	5
32	но в	8	5
33	именно в	3	4
34	о чем	2	4
35	в них	4	4
36	и все	2	4
37	уже не	4	4
38	не в	7	4
39	из них	3	4
40	а также	8	4
41	то же	7	4
42	а не	22	4
43	в которых	4	4
44	далеко не	10	4
45	на этом	2	3
46	тем что	3	3
47	в качестве	34	3
48	не всегда	2	3
49	в году	2	3
50	в ее	3	3
51	того что	3	3
52	и о	4	3
53	в котором	5	3
54	во всех	5	3
55	в отличие	5	3
56	и по	2	3
57	или даже	2	3
58	как мы	2	3
59	тому как	3	3
60	между тем	4	3
61	подобно тому	2	3
62	в этой	2	3
63	отличие от	5	3
64	не менее	2	2
65	связи с	4	2
66	сказки о	3	2
67	об этом	2	2
68	могут быть	4	2
69	никогда не	2	2
70	в разные	2	2
71	между собой	2	2
72	жизни в	2	2
73	с другой	10	2
74	представления о	2	2
75	это в	2	2
76	прежде всего	11	2
77	как уже	3	2
78	из наиболее	2	2
79	что и	3	2
80	что с	2	2
81	в г	2	2
82	и как	6	2
83	одним из	2	2
84	здесь в	2	2
85	одной стороны	9	2
86	в виду	2	2
87	еще в	3	2
88	один из	3	2
89	не с	3	2
90	все же	3	2
91	в своей	5	2
92	том чтобы	2	2
93	дело не	2	2
94	в форме	2	2
95	в их	5	2
96	тогда как	19	2
97	а с	5	2
98	не было	7	2
99	с одной	9	2
100	принадлежат к	3	2
101	в своих	3	2
102	пока еще	6	2
103	в момент	2	2
104	с этим	3	2
105	на себя	2	2
106	и ее	2	2
107	в то	3	2
108	представляет собой	17	2
109	заметить что	2	2
110	есть в	2	2
