N	2gram	Trubetskoy_1	VLabPisa
1	таким образом	11	27
2	в этом	17	26
3	и в	14	25
4	и т	3	24
5	не только	9	22
6	может быть	9	21
7	хотя бы	5	20
8	и не	19	19
9	не может	22	17
10	в его	4	15
11	прежде всего	8	13
12	в том	17	13
13	в частности	2	12
14	все это	6	12
15	в силу	2	11
16	из них	3	11
17	не могут	4	10
18	в качестве	3	10
19	о том	7	10
20	по этому	2	9
21	что в	4	9
22	для него	6	9
23	но и	10	9
24	то же	11	9
25	все эти	2	8
26	на основании	2	8
27	в своем	6	8
28	из этих	3	7
29	как и	4	7
30	том что	9	7
31	было бы	5	7
32	во всех	5	7
33	вместе с	4	7
34	по отношению	2	7
35	не было	3	7
36	а не	2	7
37	в порядке	2	6
38	у него	2	6
39	в себе	9	6
40	то что	13	6
41	более или	4	6
42	главным образом	3	6
43	том же	2	6
44	в нем	5	6
45	или менее	4	6
46	их в	2	6
47	между тем	5	6
48	в то	10	6
49	в результате	2	5
50	тому что	2	5
51	же время	10	5
52	все же	4	5
53	и при	6	5
54	связи с	3	5
55	и есть	2	5
56	как бы	4	5
57	в их	4	5
58	приводит к	4	5
59	только в	5	5
60	не в	4	5
61	к тому	7	4
62	никогда не	5	4
63	что все	3	4
64	что он	6	4
65	одна из	3	4
66	в своей	5	4
67	в самом	3	4
68	в этой	4	4
69	это только	2	4
70	и к	6	3
71	во время	2	3
72	всех этих	3	3
73	с тем	6	3
74	и как	3	3
75	даже и	2	3
76	и от	2	3
77	в конце	3	3
78	по существу	5	3
79	что они	3	3
80	или в	3	3
81	с этим	2	3
82	сил и	3	3
83	значительной мере	2	3
84	в котором	2	3
85	его в	4	3
86	что и	3	3
87	жизни и	4	3
88	ее в	2	3
89	именно в	3	3
90	этот вопрос	2	3
91	сводится к	3	3
92	в значительной	3	3
93	того что	3	3
94	и по	3	3
95	так же	2	3
96	как на	8	3
97	точки зрения	11	3
98	она не	2	3
99	является не	2	3
100	он сам	3	2
101	зависит от	2	2
102	можно ли	3	2
103	но даже	2	2
104	отличается от	2	2
105	не подлежит	2	2
106	с нею	3	2
107	по себе	2	2
108	или иной	5	2
109	ли это	4	2
110	до сих	5	2
111	и потому	3	2
112	но не	4	2
113	естественно что	2	2
114	но для	2	2
115	еще не	3	2
116	для того	6	2
117	одной из	3	2
118	то это	3	2
119	если бы	6	2
120	ни одна	3	2
121	видеть в	2	2
122	том чтобы	3	2
123	в ней	2	2
124	конце концов	3	2
125	и даже	2	2
126	всяком случае	6	2
127	и этот	3	2
128	отнюдь не	7	2
129	если в	6	2
130	что для	3	2
131	некоторых из	2	2
132	этом и	2	2
133	сих пор	5	2
134	все они	3	2
135	от того	4	2
136	может не	3	2
137	даже не	2	2
138	а в	5	2
139	что оно	3	2
140	в течение	2	2
141	того чтобы	8	2
142	из которых	5	2
143	что такое	2	2
144	и для	6	2
145	отметить что	2	2
146	можно было	4	2
147	в своих	6	2
148	если они	2	2
149	во всяком	9	2
150	лишь в	3	2
151	не о	2	2
152	знаем что	3	2
153	он не	5	2
154	говорить о	3	2
155	в другом	3	2
156	самого себя	7	2
157	того или	2	2
158	на это	2	2
159	могут не	2	2
160	в области	2	2
161	тогда когда	4	2
162	в сознании	3	2
163	но в	2	2
